#{"t_start": 1726099634.876133, "env_id": "None"}
r,l,t
90.411146,300,5.459556
183.33063,300,9.792688
38.522896,172,12.236863
98.622613,195,14.966637
161.040455,300,18.988555
82.469397,181,21.550172
342.922144,300,24.337419
371.607875,300,25.78035
252.666301,300,27.022066
294.672871,300,28.498604
360.44477,300,29.938358
-67.77896,300,34.050327
-19.054386,300,38.52146
115.685385,300,42.560308
230.386324,300,46.61632
63.047337,191,49.268409
34.530494,300,52.352805
33.752285,300,53.636653
23.717494,300,54.9763
-24.970479,300,56.291493
-38.340824,300,57.570186
52.671651,178,60.249938
11.62898,286,64.5333
57.571463,189,67.396448
48.979564,196,70.078849
-75.384035,117,71.804237
30.769707,110,73.519608
-0.405167,295,77.587123
-69.799077,126,80.246131
121.370934,174,81.241054
73.13041,266,82.377433
60.037964,300,83.586638
-72.652124,128,84.397503
160.782833,300,88.511906
-67.068497,93,90.031512
-51.251238,82,91.502081
-50.275572,88,92.998473
116.394938,168,95.548441
-83.58725,79,96.900375
156.053243,234,100.712081
83.162207,300,105.642733
-110.32541,259,109.25772
-143.002091,300,110.443772
-139.48165,300,111.73914
-95.21799,300,112.962737
-153.990747,300,114.154788
-90.295336,133,116.127136
-128.931937,297,120.118076
3.418732,167,122.637631
73.10263,244,125.919725
-26.953917,216,128.964163
51.772494,134,131.000714
46.995321,145,133.433088
28.016377,152,135.835092
27.464525,243,137.483639
10.521463,124,138.202755
17.803525,139,138.982672
44.635862,171,139.925951
19.03669,125,140.642212
-40.097653,121,142.434184
89.059087,138,144.530902
60.725833,140,146.600375
-44.977881,167,148.980391
100.393034,150,151.076682
-17.060053,174,153.480938
86.934464,142,155.746639
130.334915,158,158.222471
-38.139795,148,160.460319
73.69351,136,162.558569
69.109834,139,164.10624
9.251002,113,164.843585
-9.672646,98,165.515824
-29.040388,93,166.121898
-36.293308,122,166.898201
50.814552,153,169.344113
60.154704,131,171.482332
87.887043,136,173.881186
22.705195,153,176.118269
15.01453,280,180.119865
67.227134,124,182.002376
59.705714,145,184.206997
103.099179,154,186.573807
-46.682726,160,189.086423
8.432579,300,191.655089
-45.322904,242,192.838629
276.505891,300,194.542833
7.85654,155,195.390821
52.542333,134,196.267986
62.463397,125,198.563547
48.62071,138,201.004348
54.808187,130,203.245363
68.897234,130,205.210035
-30.879716,131,207.091758
-12.880109,80,208.497781
10.737373,112,210.211753
26.352641,123,212.098406
14.63819,82,213.536462
-37.489511,166,215.936403
70.28518,128,217.804191
70.293801,128,220.750525
-8.508763,153,221.568795
-19.647521,125,222.298147
-56.272985,186,223.158954
99.406214,145,224.110649
-182.575895,300,228.305729
51.868891,130,230.159999
4.736147,213,233.15675
3.167158,64,234.398818
61.407947,149,236.69545
74.03861,132,238.8627
45.694808,136,241.152206
54.599639,133,243.359019
23.482285,97,245.006208
69.490223,197,248.158982
-33.270054,169,249.001459
94.748126,244,250.057548
-24.438805,235,251.077249
-7.722524,88,251.733042
61.439106,143,254.057718
63.329696,128,256.073638
91.567512,151,258.341287
77.110349,152,260.638847
4.15494,95,262.340569
68.133253,170,264.908625
58.577277,148,267.167427
55.345183,144,269.300795
18.572603,96,270.882008
168.740195,191,273.920697
281.971266,300,276.859697
89.714599,200,277.981411
17.662923,251,279.276648
48.360758,143,280.132658
48.737315,134,280.937878
61.742958,132,282.904068
92.316441,161,285.308121
-8.237264,188,287.977008
13.990086,77,289.427049
216.906689,300,293.989753
69.335617,141,296.421083
65.205687,140,298.849307
45.771027,144,300.880639
12.967103,81,302.097448
63.872174,138,304.997093
52.227635,300,306.361305
168.250668,171,307.39482
72.005651,128,308.23771
100.638954,188,309.198575
-9.487412,170,311.649436
55.639548,141,313.812256
47.817529,138,315.84303
67.405803,148,318.025479
-57.318648,210,321.010443
48.699527,168,323.315689
11.122813,131,325.384444
-56.256014,300,329.140787
-21.990674,218,331.534201
-53.547119,223,332.616008
32.279571,133,333.370585
-38.415496,198,334.389714
213.815107,290,335.935253
29.12093,115,337.797998
120.15567,281,341.803775
59.485912,239,345.295376
108.288393,142,347.442702
-62.814266,219,350.433474
-23.058289,240,353.854314
80.41325,148,356.430202
61.588085,155,359.186074
-94.570294,286,360.490222
-126.347286,300,361.759803
-69.245954,235,362.866642
-146.165147,300,364.042703
-26.263765,206,366.887447
95.809992,141,369.280139
66.152446,221,372.50406
-27.525724,300,376.510777
47.16845,146,378.879385
-12.960784,77,380.261524
8.366952,264,384.235723
30.199957,145,387.198919
56.127634,220,388.306387
17.162385,117,389.08906
13.028027,115,389.931273
67.750466,162,390.881542
51.891107,132,393.01939
121.203935,152,395.349324
233.451749,285,399.214806
74.079222,251,402.798922
-22.018677,226,406.091527
-100.253799,300,410.232404
273.793799,300,414.160892
76.423248,153,415.071925
328.36356,300,416.565
46.617178,137,417.316051
215.448648,204,418.395055
44.303275,149,420.662246
354.319707,300,425.218877
95.18924,153,427.763233
181.839052,283,432.19111
255.989728,300,437.035789
116.184937,211,440.124668
139.115451,192,442.89972
-17.12442,206,443.866043
197.10281,258,445.072913
18.259679,129,445.833353
195.342948,300,447.414239
155.964171,181,450.108332
11.570864,132,452.047183
136.244928,195,455.089398
449.922258,300,460.221935
-55.209041,300,464.86805
5.730358,272,468.790437
81.393969,300,472.088881
22.402837,300,473.454644
162.438729,165,474.451054
166.326492,186,475.500547
2.004003,111,476.183123
43.508135,156,478.601198
158.730309,271,482.756436
-12.340965,256,486.073046
89.808064,157,488.420509
158.781876,300,492.760674
266.638454,300,497.135224
20.165755,246,499.410967
94.543427,300,500.751123
2.875945,241,501.910678
401.851116,300,503.807725
-20.665073,300,505.186922
264.877073,300,509.623188
159.095794,286,513.451763
52.549138,245,517.169312
256.131475,300,521.462075
252.510378,300,525.894536
303.767682,300,528.790167
285.377518,300,530.340279
227.837457,244,531.68229
68.50438,182,532.597439
281.634608,300,534.16393
277.606077,300,538.531561
-21.29845,282,542.176296
143.251277,300,546.47297
237.822168,300,550.597991
-12.915911,216,553.81114
21.119839,248,556.555959
-6.897735,228,557.589929
263.749259,264,558.765795
94.20183,164,559.613943
201.521654,300,560.8744
14.1007,228,564.196974
59.425209,255,567.432364
105.943992,160,569.898614
104.512202,147,572.185121
-216.682629,211,575.129924
8.59504,140,577.401704
102.558583,300,581.671525
70.025222,147,583.624274
29.960122,149,584.462305
198.05613,300,586.004554
219.933183,261,587.586094
28.714117,235,588.742498
132.788575,300,592.553624
110.677472,300,596.681907
15.584205,82,598.202882
45.053721,251,601.932136
249.441172,300,606.225687
73.318901,164,608.671782
120.905759,220,611.463014
175.635398,300,612.798903
201.238659,300,614.264268
242.288145,300,615.70014
435.83742,281,617.720645
-10.992933,274,621.269336
183.77471,210,624.47737
93.83423,300,628.474788
61.370278,300,632.389193
67.961014,133,634.485918
175.766401,224,637.863711
58.379794,300,640.278024
107.036939,218,641.472936
-50.015901,216,642.631409
83.567203,167,643.659312
77.960078,156,644.648182
19.944139,300,648.941405
36.288564,238,652.396785
131.03012,174,655.084173
60.746654,300,659.374811
150.137969,197,662.247912
75.353554,139,664.760074
148.418197,206,667.951654
75.721461,249,669.133033
117.909026,240,670.336066
17.272533,252,671.54448
64.039368,264,672.773741
72.085322,135,674.873311
71.560683,136,676.89071
43.512962,152,679.183617
52.324927,277,683.280866
23.908735,246,686.866223
207.343582,300,691.509934
-15.707575,71,695.76338
96.000844,160,696.611656
89.611119,262,697.671206
49.23582,233,698.803274
-128.969603,300,699.898839
61.624307,130,701.68144
163.684144,257,705.040931
130.304535,300,709.235339
47.39987,132,711.250627
66.350411,131,713.317968
45.087564,300,717.361187
82.162407,155,719.491993
58.287681,130,721.822652
36.382299,297,723.183002
38.91758,121,723.988313
55.198795,126,724.804826
20.941577,144,725.651158
51.503225,183,728.050164
217.997972,252,731.589
98.977259,221,734.758632
94.285223,243,738.12651
81.086702,142,740.427237
-120.978574,240,743.894516
96.351715,158,746.487698
81.282087,237,748.709893
161.311357,300,749.970521
50.629046,125,750.769158
91.462318,152,751.576775
132.16675,179,752.487524
270.985739,300,756.304558
146.61429,209,759.204483
187.28487,276,763.157316
223.012674,300,767.411115
126.582395,205,770.250123
67.973708,133,772.372662
65.30794,129,774.520014
124.716451,243,775.630977
85.159619,140,776.416007
83.023493,143,777.21319
87.245929,247,778.280108
89.897434,139,780.340534
74.816867,300,783.997484
25.567404,230,786.974495
65.899056,266,790.400607
30.493074,160,792.668686
17.37028,138,794.730078
61.594554,129,796.712233
84.251772,174,799.778784
72.846485,142,800.539817
207.033023,300,801.840304
221.809944,210,802.904557
69.44161,138,803.736432
-39.3527,129,805.677143
284.206029,300,809.542177
103.999737,145,811.502206
66.816569,248,814.970592
19.52357,222,818.145435
-146.895549,300,822.426762
160.480814,218,825.846746
42.747854,141,826.600614
132.910225,300,827.911905
57.932644,134,828.742977
32.81801,300,829.988837
40.694004,154,832.370976
65.545427,203,835.286418
46.328437,243,838.572778
63.014009,137,840.719944
107.252592,181,843.470253
82.453606,251,846.970055
71.337238,280,850.738649
-17.937671,206,852.814857
66.166892,129,853.621424
237.266438,244,854.75146
162.920614,274,855.953655
187.402391,290,857.314494
60.249966,129,859.511575
48.511198,120,861.399871
60.932007,184,863.840014
54.963408,287,867.771125
45.597299,252,871.28969
45.906365,233,874.814637
120.786983,193,879.885048
50.009352,273,881.158086
15.989797,257,882.342707
86.738391,300,883.5522
93.243037,193,884.55777
37.351838,267,888.139995
88.500652,151,890.227509
68.504563,143,892.250417
71.699081,237,895.150065
80.416755,300,899.194917
10.012,221,902.511081
-5.47087,263,906.39413
58.084986,247,907.597793
189.880865,255,908.678972
4.041102,224,909.710865
117.523526,300,910.932654
50.818574,130,912.954022
66.278592,228,916.396584
6.811998,295,919.948897
32.825467,262,923.448608
188.364238,300,927.576357
5.492062,152,929.764323
114.541724,253,932.886404
308.001183,300,934.112437
57.317043,300,935.482403
38.229321,101,936.145215
85.151683,130,936.840253
242.302495,269,940.760005
27.238122,300,944.72213
9.947528,73,945.973806
76.316915,133,947.934019
57.662066,156,950.204773
-34.590596,300,954.756732
88.517071,166,957.442412
331.432016,300,960.634514
372.575273,300,962.347952
272.467707,300,963.668627
236.289909,250,964.838329
438.072993,300,966.809787
291.592331,300,971.32147
358.942694,300,975.67328
272.075752,269,979.866652
1.723527,211,982.871426
110.204686,170,985.643874
123.336208,221,988.710462
-23.707369,224,990.644033
121.745637,224,991.813767
6.022419,156,992.68961
178.059729,199,993.811441
68.972243,148,994.714151
60.539398,157,996.983721
163.746524,300,1001.029833
193.493882,300,1004.870326
40.588857,149,1006.934494
3.99571,238,1010.551145
223.220204,260,1014.414537
26.213216,147,1016.825555
202.39371,300,1018.246302
174.802055,287,1019.486163
-11.515559,243,1020.581195
-69.790818,300,1021.856902
267.81876,294,1026.180353
212.288708,235,1029.682042
36.925631,146,1031.824575
21.95422,144,1034.015875
146.776699,300,1038.451601
54.573699,168,1041.137615
50.838463,154,1043.911674
191.19419,192,1046.351559
129.035688,229,1047.570539
237.22492,300,1049.198501
242.940207,263,1050.605632
13.416731,230,1051.722214
-66.89642,281,1055.478295
-42.386373,68,1056.741556
177.3569,300,1060.482544
37.735633,300,1064.603696
57.554882,123,1066.523666
33.141944,132,1068.508263
179.08171,203,1071.365996
150.518389,234,1073.955864
147.422811,300,1075.253464
82.029036,160,1076.010479
372.113155,280,1077.500816
46.655902,300,1078.782609
26.332691,250,1082.390983
40.986568,238,1085.617536
10.601139,227,1088.639689
77.049794,179,1091.107606
18.51044,286,1094.841686
64.600742,126,1096.834372
43.868265,117,1100.344926
132.767918,172,1101.222893
387.079404,300,1103.09214
-22.706813,69,1103.699045
130.942491,300,1104.930065
194.78274,210,1108.228309
55.473414,235,1111.581569
-80.120695,162,1113.887783
57.880989,137,1115.912207
-113.139389,218,1118.902808
90.197162,194,1121.617252
284.060203,281,1125.526415
259.0142,296,1127.917872
276.388514,300,1129.178541
74.346038,157,1129.992996
300.844785,300,1131.275191
73.782924,162,1132.144593
60.053997,261,1135.570447
86.85121,139,1137.665867
270.101388,300,1141.623162
119.03288,224,1144.628491
82.066166,181,1147.144236
89.792105,183,1149.845975
1.151726,300,1154.279392
97.075505,216,1155.237276
231.476683,300,1156.710135
88.660884,193,1157.709549
318.236197,300,1159.150842
101.230787,222,1162.114413
85.659738,240,1165.389649
129.523279,300,1169.469377
21.057302,243,1172.703328
133.664457,187,1175.494584
131.209917,251,1179.146283
60.008313,119,1180.934098
31.634934,143,1181.799561
-12.447688,265,1182.968036
35.660117,270,1184.115551
86.436507,188,1185.142183
21.292661,237,1188.652521
35.063225,177,1191.295296
288.193752,300,1195.474124
158.515232,210,1198.286425
19.688861,300,1202.076526
316.49975,300,1207.476343
