#{"t_start": 1726226717.2074249, "env_id": "None"}
r,l,t
90.411146,300,6.344329
215.487735,300,11.538901
-211.045143,276,15.95117
9.56693,184,19.046326
-6.991096,234,23.04488
282.962508,300,28.364625
405.462368,300,30.189366
383.354383,300,32.030974
361.905086,300,33.931906
388.58403,300,36.007958
-128.908898,134,38.600245
141.763677,238,42.476501
-226.234802,276,46.826666
180.784008,275,51.611587
100.144648,178,54.421725
-106.944757,165,57.809745
63.594194,209,61.58055
-253.453127,266,63.613162
-176.426648,200,64.680809
-209.363196,218,65.840854
-220.656293,238,67.051455
-226.801604,245,68.367511
74.113913,202,71.774537
76.308603,287,76.124561
145.338688,300,80.79632
55.682393,235,84.214482
53.55219,300,89.10435
45.280374,300,93.391754
15.621204,300,94.870537
-42.472376,300,96.3097
-128.386273,300,97.681495
-259.125806,213,98.804331
-142.897486,228,102.363304
177.885471,300,107.200377
161.878934,300,111.81231
192.500804,300,116.880501
-80.502855,300,121.735456
-286.809563,261,124.592939
-327.343668,254,125.917611
-330.856489,250,127.072837
-513.143619,300,128.436532
-347.306748,265,129.724017
24.867229,173,132.811088
3.576786,300,137.831533
-8.509891,129,140.0518
7.845922,210,144.171292
-89.098334,171,147.141369
-110.324553,300,152.270602
-40.181106,96,156.817915
11.109363,300,158.235254
15.706443,219,159.343371
-72.356778,153,160.279943
-132.493139,218,161.448745
102.64402,276,166.162549
108.934168,272,171.209019
-51.209858,285,175.959471
-136.174824,300,180.473623
-54.157105,95,182.194628
-39.506899,83,183.82131
37.872425,198,188.348963
11.85882,87,189.025558
-38.919679,279,190.461189
-20.319885,271,191.817015
60.074238,286,193.258362
-13.270197,90,195.361194
1.995741,91,197.124002
-7.993787,300,202.967329
-53.581576,133,205.496074
-155.374605,300,210.165685
81.461067,300,215.158479
167.812675,275,219.690311
-20.657633,223,221.617141
-21.188208,203,222.857184
50.494201,160,223.813342
-187.034346,263,225.10341
23.944983,99,225.865786
-3.264514,164,228.726411
-29.39825,233,232.392449
30.648983,300,237.404455
-24.220447,300,242.297662
-107.545044,253,246.854019
-29.287309,236,250.707351
6.56631,97,252.304288
223.196595,300,253.820581
-8.240345,50,254.385255
60.289815,136,255.336405
41.484314,300,256.991389
25.410914,300,261.813442
242.534444,300,266.419501
228.152209,300,271.23911
34.772113,249,274.816123
-18.183388,300,279.443977
239.514468,300,282.018002
133.692275,184,283.186475
-4.615963,60,283.809905
28.801141,113,284.669827
105.982727,180,285.848341
207.229088,294,290.616682
23.703931,128,292.912834
-202.215544,297,297.561434
231.043402,300,302.096873
130.46847,280,306.397287
174.27213,300,311.166897
174.837344,300,312.67291
201.209442,300,314.020292
250.892761,300,315.652063
160.794662,300,317.008694
206.798589,300,321.852301
-183.999458,300,326.669893
240.435024,300,331.46332
165.786373,300,336.880513
143.472522,287,341.732558
238.087281,300,343.798547
12.344019,84,344.505163
13.069107,90,345.274395
244.456698,300,346.772066
37.15385,105,347.678479
147.848663,214,351.325509
237.17357,300,357.337149
166.12072,300,362.207511
142.88561,300,366.810849
67.796829,252,371.272828
-3.01067,146,374.744845
180.454978,248,375.99622
262.098581,300,377.464082
257.042162,300,378.911416
214.791095,277,380.221435
46.247848,170,382.903419
121.03929,210,386.17367
14.583796,300,390.640805
97.952305,300,395.332037
-66.99357,300,399.914115
76.547073,233,404.521062
271.70211,300,405.930401
259.044464,300,407.206069
181.85628,300,408.861277
255.101153,300,410.381089
174.491244,234,414.647263
125.896555,300,419.679618
103.443068,255,424.036867
228.634323,286,428.755185
210.79096,300,434.03761
-31.245269,300,437.790622
73.828067,186,438.859833
265.251424,300,440.289894
222.530207,300,441.940113
244.920418,300,443.503025
122.466549,263,447.833946
91.755795,269,452.423801
217.579936,300,457.699434
231.139658,300,462.720026
211.315967,300,467.780263
275.457444,300,471.062281
46.087656,132,472.109218
228.156281,300,473.967753
241.105368,288,476.416073
104.845839,300,478.529616
135.344179,269,485.549968
47.961036,187,489.868437
122.601835,217,494.009649
40.156028,132,496.583423
26.484676,198,500.242135
241.828353,259,504.847254
105.29496,237,508.92519
137.276476,230,510.568167
