#{"t_start": 1726226451.93613, "env_id": "None"}
r,l,t
-25.802365,187,18.954158
-33.736079,300,22.175004
-18.951636,290,25.386212
29.473545,180,27.528335
52.352827,238,30.318044
-217.154523,300,33.692773
215.512992,300,35.584539
381.824648,300,37.125798
340.637363,300,38.478777
375.438855,300,40.167789
397.679218,300,41.910073
116.676733,300,45.49927
-36.267541,300,49.063448
-315.074655,285,52.301881
239.52496,300,56.269956
-264.18991,147,58.258193
105.228274,213,61.486589
-46.637759,300,62.721622
168.807229,295,63.873745
238.997482,300,65.00183
172.080831,239,65.920637
87.034435,195,68.273779
185.111093,300,71.643583
32.828104,185,73.814016
186.685426,300,77.115255
101.983326,300,80.39096
-70.712472,210,83.600601
-42.764981,246,84.598432
111.528943,300,85.808547
178.504263,300,86.864294
-62.23295,199,87.746645
-47.437278,176,89.849908
6.901508,266,92.931597
-131.392473,138,94.617064
194.643345,300,98.496997
147.885411,213,101.060643
221.240152,246,103.640606
-265.842066,159,105.53768
163.386216,264,106.916447
307.749539,300,108.068635
236.348739,269,109.016672
113.236867,300,110.176825
152.669758,300,111.354162
-35.68023,300,115.178159
-94.425801,199,117.523845
-235.974911,300,120.76881
-84.690336,261,123.747051
156.724556,300,126.894787
206.294368,275,129.958811
233.854653,300,131.07283
376.65728,300,132.523334
185.007916,300,133.666331
360.69479,300,135.273993
227.327811,300,139.151138
152.585964,264,143.032362
93.077763,243,146.460342
40.509792,198,149.24034
160.211098,300,153.125677
25.508783,176,156.2939
33.164041,198,158.133066
202.687434,286,159.723716
261.724988,300,161.204365
145.118595,286,162.758188
163.603619,300,164.447664
114.554876,300,171.783691
205.069893,269,177.790411
-87.535895,118,180.713165
214.772088,300,187.200031
83.882814,240,192.090814
82.430743,248,197.494391
36.874693,300,200.188786
138.741345,300,201.830715
163.650905,300,203.332837
115.287566,281,204.889303
-54.83773,86,205.794269
29.050996,156,208.855137
111.333321,288,214.477965
61.634872,182,218.255039
162.876981,220,222.730327
58.049421,181,226.127737
214.030726,300,231.33595
13.605625,156,234.658382
237.688233,272,237.057675
-45.480916,71,237.904422
142.661806,300,239.41806
133.973495,278,240.847875
140.002007,300,242.281848
-95.312921,174,245.255622
-55.857355,250,249.213571
109.795482,288,254.613092
74.097765,187,257.753007
31.449651,184,260.542345
26.386557,185,263.322775
17.449693,182,266.408031
102.008271,165,268.648771
202.171376,223,270.137732
110.911455,234,271.64664
-127.500779,154,272.594661
