#{"t_start": 1726416366.3116786, "env_id": "None"}
r,l,t
99.847975,300,7.768735
223.969281,300,13.904852
19.469592,189,17.854357
91.564671,194,21.652312
203.908796,300,27.516576
82.149987,173,30.877246
371.184439,300,33.927427
294.459933,300,35.755867
254.716848,300,37.636652
265.550306,300,39.558683
182.849402,300,41.464679
86.460766,300,47.56097
14.320185,168,51.010361
224.077445,300,56.648569
85.489083,229,61.093856
-463.372656,264,66.377518
193.657149,300,73.185313
-77.444305,300,74.891648
258.806904,245,76.665828
165.551647,300,78.705152
177.984671,300,80.757506
-113.261365,300,86.792156
-346.899162,238,91.608473
-241.277947,182,95.087584
36.873764,255,100.08362
-96.451791,244,104.841383
-177.228095,112,106.992953
154.722137,198,111.723067
-43.789738,108,112.645353
138.198739,193,113.921892
-41.293815,128,114.900536
154.044225,180,116.196417
-36.599217,116,118.943542
68.712104,231,123.756359
-37.909851,101,125.764853
-141.896001,172,129.549256
-249.563421,203,133.467339
-9.878834,125,136.007817
-224.210314,300,141.640486
-68.417323,126,147.278247
-199.426022,300,148.961769
25.447975,140,149.942411
-115.283141,300,151.580282
-65.912854,238,153.024483
-121.552242,300,158.896992
-217.143991,300,164.776903
-93.439163,300,170.436361
-213.074559,300,175.87534
138.737552,189,179.466709
101.660331,216,183.141218
-92.054621,132,184.19438
149.72831,205,185.501449
-205.714581,136,186.469929
170.694683,211,188.022912
4.207414,122,190.535018
-319.575937,188,194.532543
-142.291547,181,197.961289
-157.55806,172,201.518117
-407.787166,300,207.132359
-46.924925,224,211.405851
-312.857304,300,216.915938
-396.904378,300,219.304941
-296.091006,300,220.959208
-376.449769,300,222.57048
-58.293037,117,223.508428
-31.11285,85,224.310282
-544.604227,300,229.495846
-98.196797,109,232.07151
-116.365215,95,234.330822
-78.705422,120,237.054254
169.536717,281,242.721069
220.476633,300,248.574188
192.55801,300,255.939738
-99.353508,288,257.530058
122.871232,251,258.847319
152.806138,300,260.346575
124.672558,249,261.808492
-71.489485,94,263.871661
172.224938,300,269.340767
-124.182546,300,274.15899
-171.437875,300,279.188113
126.978806,168,282.034104
-77.927552,93,283.702179
-214.801372,239,288.969227
-17.825268,85,289.78142
-13.348922,64,290.459943
-90.83083,244,291.8121
230.136112,300,293.457543
-36.460614,161,296.355205
67.123492,160,299.185923
-65.46708,300,304.159642
108.738608,157,307.012693
20.246429,300,312.198904
-146.418576,90,313.824228
222.547723,300,318.179774
-345.568325,300,320.454735
207.240163,201,321.681791
-15.401445,55,322.302481
26.74315,171,323.404795
-14.065099,59,324.103031
-231.263328,300,328.701244
23.982782,107,330.869235
25.326893,197,334.534451
128.101877,300,339.979898
-53.158292,160,343.124976
-61.631645,194,346.606434
174.000283,253,351.820984
158.132704,300,353.205971
-105.256529,256,354.748566
-13.026299,159,355.841213
-10.431442,200,357.394489
151.880059,289,362.918359
51.531074,172,366.369875
-9.288535,72,368.178445
121.726591,165,371.943243
-63.76942,184,375.919417
9.659501,106,378.598581
-91.862411,178,382.849823
202.713637,256,388.391999
260.250778,300,391.915529
-123.758929,221,393.425058
241.333604,300,394.950071
243.273565,300,396.409606
61.343686,217,397.526988
200.463381,300,402.483078
92.835092,156,405.473791
87.298989,145,408.254118
9.364948,175,411.615997
47.909244,159,414.738829
-60.677097,158,417.808436
47.088762,162,421.098679
-48.946588,166,424.195843
189.886892,205,426.953251
22.123031,211,428.201477
