#{"t_start": 1726415260.835728, "env_id": "None"}
r,l,t
-27.710411,189,18.856153
-20.669472,300,24.317278
-177.223862,300,29.562206
-72.162163,293,34.289716
9.596048,199,37.288086
-23.348626,161,39.667718
299.629449,300,41.89827
320.137039,300,43.088907
197.874993,300,44.472178
160.965048,300,45.794154
312.950982,300,46.978037
-147.465243,300,50.706574
55.37151,299,55.061311
216.164021,300,59.433259
78.312082,192,62.016562
232.398649,300,65.769607
-195.335165,300,68.429614
-0.367477,300,69.719887
-221.646564,300,71.005314
19.778812,267,72.120557
-40.831928,300,73.316339
190.89138,300,76.52877
91.783786,237,79.234072
-24.882033,277,82.015184
82.918821,300,84.809818
33.246813,271,87.552871
236.536425,300,89.771338
226.705003,300,90.839354
67.586714,195,91.616462
-244.220444,266,92.425084
160.421747,300,93.30992
-21.53142,300,95.693299
11.222833,299,98.105569
-174.488486,300,100.585172
-87.418607,151,101.947329
-39.646212,143,103.331197
30.881166,216,105.367375
61.165406,300,107.427119
73.211807,186,108.276205
85.890404,221,109.103698
166.350855,255,110.058401
-25.152817,231,110.893185
178.103653,300,113.650865
-169.296279,191,115.489746
164.630557,300,118.256021
-190.762734,300,120.974965
-55.58899,279,123.537835
-56.89172,298,125.735006
153.896891,300,126.691864
136.342195,300,127.548451
71.836632,300,128.365343
-150.492832,300,129.187994
-54.747798,138,130.388073
-63.356209,89,131.264152
-60.117508,114,132.413532
-37.313558,84,133.290424
-66.635798,120,134.583428
-119.559475,107,135.810027
-107.031638,146,137.340541
122.06772,182,139.251118
45.59083,300,142.031759
11.964464,156,143.439421
274.933053,300,145.035783
87.796479,300,145.793973
14.208825,291,146.561242
248.726174,300,147.551787
150.105741,223,148.362499
33.234955,243,150.693766
35.242353,143,152.218483
-49.280238,69,153.033856
59.93177,148,154.522598
-51.300654,225,156.426667
55.221381,276,159.099412
-67.53617,245,161.266398
107.435878,300,163.504
22.634862,238,164.281551
-91.757056,258,165.229291
270.195527,300,166.149485
62.384277,279,167.035726
-124.072427,248,169.067251
-58.6035,235,171.037367
-154.396978,263,173.516185
-96.378318,228,175.604013
-48.292618,205,177.219256
167.917933,300,179.43304
176.89878,300,180.737543
192.466224,293,181.576786
-94.476122,225,182.252944
226.500065,300,183.014961
228.515312,300,183.744242
47.644368,154,185.043862
107.600126,175,186.570825
130.259953,283,188.860288
-2.32692,179,190.642665
-196.127379,300,193.311364
-23.510809,160,194.80731
-129.555817,300,197.951219
19.232236,204,198.85761
-126.584439,221,199.636001
23.898851,149,200.309259
-18.059407,201,201.157994
42.883959,232,203.014447
-1.40574,176,204.692622
195.455,294,207.143969
12.529053,282,209.460313
-171.85773,300,211.989059
-18.288476,300,214.870938
-171.620057,300,215.677497
-154.280367,300,216.4579
-37.026023,191,217.038479
-86.379631,254,217.722177
15.678678,272,220.089334
77.257671,144,221.362813
101.622972,174,223.015335
79.729422,174,224.807484
-188.120538,300,227.180704
55.111454,180,228.641171
-13.071548,249,230.681143
25.589785,300,231.770526
63.028629,157,232.310966
125.312805,228,232.998126
141.958384,207,233.735781
154.584845,245,234.536451
30.648419,104,235.570981
63.011814,166,237.046392
63.007751,140,238.362135
20.3523,137,239.784451
-7.203346,144,241.204658
39.379991,195,243.109227
-78.141437,300,245.658427
-11.598677,160,247.106596
64.160969,300,249.684912
15.041925,242,250.415448
80.900041,215,251.127395
138.662198,300,252.091654
-60.558237,300,252.968713
-24.972417,140,254.455236
4.12897,179,256.152026
54.743615,143,257.384551
175.264566,300,259.785794
161.009365,254,261.797858
66.88605,138,263.327585
31.442724,166,265.0457
71.571089,168,266.767087
58.942803,137,267.721584
79.348788,145,268.411078
121.117676,222,269.381457
76.711361,159,269.986488
61.740348,151,270.498693
-120.249141,300,272.964614
256.00437,300,275.413448
68.398195,145,276.667506
103.05855,168,278.444233
57.771986,147,280.062483
-5.7058,102,281.251116
52.716882,138,282.723113
10.283023,142,284.130348
-23.643033,213,285.508303
6.551441,215,286.120151
49.20171,300,286.948043
0.54279,300,287.925775
127.550858,300,288.849257
10.176331,247,290.819389
48.527795,149,292.264148
65.185119,250,294.517543
75.76834,247,296.735136
29.546537,239,298.695091
78.034509,139,299.928343
10.067002,221,301.927653
-104.685117,300,303.147316
191.730756,300,304.112323
262.751341,300,305.228777
25.33837,300,306.123919
-44.233338,214,306.819001
38.046956,128,308.116146
-33.260398,225,309.974583
174.847026,236,311.907057
45.535615,125,313.162812
52.120008,132,314.467068
64.411321,133,315.77964
73.301046,136,317.162994
11.201859,93,318.290372
40.064145,132,319.628908
54.182311,137,320.98539
49.922815,118,322.088227
193.784997,275,323.003564
60.657584,126,323.490762
41.984001,202,324.12672
-11.942393,226,324.921479
68.67645,129,326.126791
61.806933,145,327.430735
90.580424,299,329.711389
197.734755,264,331.846664
60.978047,143,333.319513
72.419348,155,334.789412
77.634814,156,336.165284
29.995976,166,337.55984
184.601086,300,338.976089
-13.539698,250,339.689433
225.067191,215,340.323759
11.981078,232,341.039746
97.421734,189,341.741226
40.117242,300,344.371561
156.595125,300,346.959547
200.20481,246,349.204588
55.014513,140,350.690776
121.796028,273,353.255349
177.576935,218,355.39367
66.722973,300,356.819073
114.603885,204,357.558045
49.915074,119,358.13596
138.928354,221,358.923211
17.854621,275,359.854014
171.613549,237,362.080749
29.011108,101,363.118549
39.361271,117,364.236794
21.589281,100,365.20986
100.484082,173,366.722019
-48.900512,254,369.060796
41.548265,189,370.743696
17.045362,156,372.026875
78.370902,143,373.432085
-16.435895,74,374.4068
87.384151,201,375.076706
-3.591467,183,375.802996
36.752868,227,376.631443
-15.199155,59,377.004168
45.364272,121,378.183377
-213.376666,121,379.268159
27.877971,182,380.78001
30.585446,241,382.729264
120.69534,164,384.43424
150.487849,238,386.681231
25.81469,166,388.097692
161.509757,246,389.958254
71.843062,140,390.856071
113.733222,170,391.416006
10.152711,300,392.322826
-36.251936,220,392.99773
205.776431,300,393.912106
170.780831,300,396.24473
39.76094,142,397.437366
80.095747,154,398.788814
91.398582,157,400.33953
-152.897495,162,401.79368
-68.178759,300,404.300651
89.877732,300,407.789119
3.229346,70,408.277063
141.406479,247,409.131519
75.783251,300,409.91802
92.398266,269,410.738176
237.449294,300,413.283489
59.858144,154,414.710893
-14.418113,199,416.430148
240.768075,260,418.495023
-135.334148,151,420.002241
-7.113096,172,421.429506
128.20979,235,424.170933
-146.817269,104,424.722451
118.386492,235,425.450105
-112.12255,300,426.315823
-11.707463,300,427.121789
13.676332,93,428.0772
98.868036,159,429.411662
70.052993,300,431.665923
-126.287571,168,433.159676
55.9968,300,435.968729
-22.864024,127,437.240118
81.668722,181,438.976707
163.090442,296,441.501635
-16.832425,68,441.961568
198.272095,300,442.800946
69.130383,300,443.75243
214.553771,300,444.861033
243.533204,300,447.773119
-240.660171,300,450.541611
113.653736,174,452.300873
87.106045,281,454.913303
218.356459,300,457.682483
-151.311206,110,458.91046
189.204978,300,460.316535
-46.365194,172,460.839702
-10.059858,289,461.664569
-42.174374,163,462.244903
33.011592,108,462.684921
25.173375,171,464.096473
8.633106,75,464.877201
130.409115,257,467.192466
21.041369,165,468.902886
51.149768,300,471.668334
58.205467,177,473.181334
-4.128273,168,474.884522
8.169621,163,476.416093
-137.96793,150,477.528875
70.499253,132,478.050195
41.522562,133,478.525715
142.761216,300,479.32891
66.626169,193,479.903903
-10.428925,193,481.439437
-47.995114,150,482.830867
213.093335,300,485.617217
306.691176,300,488.801458
200.643052,292,491.674417
61.860986,189,494.621928
130.588178,287,496.988261
133.263578,300,498.011369
112.188193,300,498.867273
157.71578,257,499.562237
-17.889246,149,500.062473
176.625742,296,502.795859
