Drone_X,Drone_Y,Drone_Z
1.9733655,-1.7527557e-09,3.025179
1.9723247,-5.407375e-05,3.018835
1.968584,-0.00011985507,3.0176458
1.9263647,-0.0003785959,3.0262427
1.8866613,-0.00051848445,3.030277
1.8442241,-0.0006400197,3.0311303
1.7924232,-0.0007674606,3.0289376
1.7149289,-0.0009298026,3.0214825
1.4972156,-0.0012585368,2.9921947
1.3794637,-0.0013728036,2.979054
1.2534595,-0.0014536072,2.9696703
1.1223968,-0.0014984113,2.9651136
0.9627176,-0.0015078324,2.9657974
0.8044296,-0.0014774307,2.9717112
0.6260961,-0.0014040837,2.98293
0.43775564,-0.0012834343,3.0001318
0.2927094,-0.0011562542,3.0173402
0.12533718,-0.00095712626,3.041197
-0.0016604089,-0.0007409663,3.0627508
-0.06115815,-0.000621603,3.0772655
-0.08337353,-0.0005912876,3.0854568
-0.10644234,-0.00059156795,3.0968418
-0.1776043,-0.0009954001,3.1420777
-0.2648855,-0.001710869,3.1775937
-0.2967005,-0.0018817378,3.1935203
-0.3085705,-0.0019078307,3.201972
-0.3170602,-0.0018928203,3.2110155
-0.33192196,-0.001845675,3.240596
-0.33920762,-0.0019213163,3.2471247
-0.34841707,-0.0020261528,3.2524788
-0.36784557,-0.002252116,3.2599835
-0.39351344,-0.0025477665,3.2668805
-0.4790226,-0.0034877157,3.2832494
