#{"t_start": 1726316020.5409322, "env_id": "None"}
r,l,t
90.411146,300,6.227855
135.008224,300,11.02756
-267.859718,288,15.239678
175.80256,300,19.452277
123.440041,300,23.663263
359.984714,300,25.940819
383.429671,300,27.641033
241.648026,300,29.248617
239.769384,300,30.920259
373.867574,300,32.516392
-480.937903,300,36.917803
42.666009,181,39.792081
183.07982,269,43.921197
61.960828,182,46.705432
217.1531,300,51.217932
-202.996485,188,54.373181
-508.448849,300,57.284874
166.015023,300,58.680036
-483.779633,300,60.065253
-506.539254,300,61.47496
-144.869994,300,62.867705
52.197214,273,67.181869
138.600439,244,70.923961
146.256228,300,75.32669
68.440712,243,78.857246
-312.75413,187,81.759867
-155.309789,141,84.107159
-279.17461,300,87.397795
196.735395,220,88.552714
-25.586687,281,89.839022
185.798891,216,90.977143
-107.92668,284,92.382121
-514.996993,300,96.966491
-138.16277,228,100.560623
4.664212,125,102.715426
-81.515077,256,106.720121
-242.647542,300,111.179489
47.124491,142,116.342117
21.854909,132,117.166531
-178.671523,274,118.358907
-160.296947,258,119.597175
-191.667881,279,120.998453
-84.149452,149,123.519504
-123.476848,245,127.054506
-322.782345,300,131.51182
-142.168368,294,135.722613
-86.958141,188,138.68942
121.439508,300,143.088636
72.084396,143,144.688933
13.81448,163,145.643364
5.132144,75,146.313401
-161.32031,300,147.783761
2.473687,69,148.450994
-36.232666,300,152.961131
-193.385516,300,157.480416
-144.431803,300,161.955955
-110.475356,227,165.427442
-108.045234,135,167.717719
87.820897,160,172.483861
61.949812,214,173.721082
-59.079073,73,174.332963
-58.776651,115,175.121556
82.817327,158,176.162322
-32.154252,168,179.028547
25.140125,300,183.754782
-69.669752,289,187.949415
-53.241753,115,189.87405
84.587683,156,192.507635
-109.404364,114,194.458579
-22.176927,67,195.765254
53.278855,139,198.248167
30.048124,138,201.572835
-56.160303,93,202.323052
12.214376,255,203.559614
89.870053,161,204.473346
-4.384841,247,205.694375
113.595838,300,210.087721
38.206548,170,212.702922
-26.164039,279,217.141797
-247.415267,300,221.484496
-389.262637,284,225.689054
81.154979,150,228.261807
80.814783,282,230.213077
67.900577,280,231.692164
28.757913,279,233.1282
-16.212291,99,233.812343
58.122336,211,234.972896
-41.755091,108,236.753352
-112.299095,261,240.531623
