Drone_X,Drone_Y,Drone_Z
1.9733738,0.0,3.0249698
1.9732769,-6.381377e-07,2.9899168
1.9726801,-2.8263005e-06,2.9740286
1.9713644,-5.953143e-06,2.962815
1.9697458,-8.858479e-06,2.955962
1.968629,-1.0569288e-05,2.952761
1.9672636,-1.2454171e-05,2.9497206
1.9656134,-1.451288e-05,2.9468455
1.9636406,-1.6743745e-05,2.9441354
1.9613063,-1.9143781e-05,2.9415855
1.9585747,-2.1708764e-05,2.9391866
1.9554137,-2.4433788e-05,2.9369237
1.9517947,-2.731333e-05,2.9347804
1.9476912,-3.0341107e-05,2.9327378
1.9430798,-3.3510667e-05,2.9307754
1.9322561,-4.0251423e-05,2.9270024
1.9191962,-4.7489008e-05,2.923283
1.9038175,-5.5181514e-05,2.919442
1.7915745,-9.884895e-05,2.893724
1.6420882,-0.00013973692,2.8582067
1.5827779,-0.00015172624,2.8448837
1.5408396,-0.00015877913,2.8360915
1.519199,-0.00016195397,2.8317933
1.474669,-0.00016747681,2.8234994
1.4518194,-0.00016977423,2.8195431
1.4050558,-0.00017331532,2.8121042
1.3811858,-0.00017450766,2.8086543
1.3325827,-0.00017561125,2.8023634
1.3078959,-0.0001754723,2.7995462
1.2578671,-0.00017368408,2.7946215
1.232569,-0.00017197589,2.7925406
1.2071095,-0.00016967782,2.7907395
1.18151,-0.00016675476,2.7892375
1.155795,-0.00016318013,2.7880535
1.1299907,-0.00015893024,2.7872045
1.1041242,-0.00015398602,2.7867057
1.0782244,-0.0001483329,2.7865727
1.0523219,-0.00014196096,2.78682
1.0264478,-0.00013486359,2.7874599
1.000634,-0.00012703903,2.7885025
0.97491354,-0.00011849044,2.7899559
0.9493199,-0.00010922472,2.7918258
0.92388636,-9.9254474e-05,2.794113
0.8986461,-8.8597175e-05,2.7968135
0.8736293,-7.727897e-05,2.7999096
0.8488625,-6.5335385e-05,2.803369
0.8243718,-5.2805502e-05,2.8071609
0.800183,-3.9728646e-05,2.8112564
0.77632165,-2.6143267e-05,2.8156304
0.75281304,-1.2088249e-05,2.8202584
0.7296822,2.3966893e-06,2.8251176
0.7069538,1.7272758e-05,2.8301866
0.6846524,3.2501983e-05,2.8354452
0.64142513,6.386911e-05,2.8464515
0.6205411,7.99333e-05,2.8521547
0.58030826,0.0001126394,2.8638175
0.54221696,0.00014588864,2.8756378
0.5240102,0.00016267775,2.8815444
0.4893459,0.00019661828,2.8932385
0.4419115,0.00024911558,2.9101696
0.41344702,0.00028611743,2.9208217
0.3875735,0.00032570874,2.9308016
0.35366634,0.00039143508,2.9442525
0.2750256,0.0007057037,2.9760106
0.26881734,0.00077403034,2.9786959
0.26749733,0.00081023044,2.9796805
0.2676618,0.00082463416,2.9800026
0.26959163,0.0008444872,2.9804487
0.28306916,0.00082917674,2.9817083
0.29152504,0.0007925038,2.982811
0.30145097,0.00073675235,2.984509
0.3126176,0.0006618403,2.9868848
0.33117685,0.0005147034,2.991821
0.3444104,0.00039497737,2.9960496
0.35119784,0.0003291617,2.9984417
0.36497912,0.00018635108,3.0038545
0.3719173,0.00010984301,3.006871
0.38575253,-5.1982504e-05,3.0134857
0.3925974,-0.00013672437,3.0170667
0.40601727,-0.00031234298,3.0247295
0.4125452,-0.0004026212,3.0287898
0.42512545,-0.0005865944,3.037317
0.43693286,-0.0007732561,3.046315
0.44249865,-0.00086688605,3.0509622
0.45286724,-0.0010533653,3.060496
0.45763823,-0.0011457031,3.0653594
0.466283,-0.0013273791,3.0752206
0.47013205,-0.0014162728,3.0801954
0.47365078,-0.0015035904,3.0851848
0.47682938,-0.0015891438,3.090178
0.47965935,-0.0016727435,3.0951645
0.48213357,-0.0017542148,3.1001346
0.48424605,-0.0018333966,3.1050792
0.48599198,-0.0019101568,3.1099894
0.48736757,-0.001984337,3.114857
0.48836997,-0.0020558338,3.1196744
0.48899755,-0.0021244718,3.1244352
0.48924989,-0.0021901943,3.1291342
0.4891271,-0.0022527857,3.1337667
0.48862982,-0.0023122106,3.138329
0.4877613,-0.0023683335,3.1428165
0.48652574,-0.0024210792,3.1472242
0.48492837,-0.0024704172,3.1515489
0.4829751,-0.0025161349,3.1557875
0.48067284,-0.002558382,3.1599362
0.47802943,-0.002596915,3.163993
0.4750517,-0.0026317725,3.167957
0.4717465,-0.002662915,3.1718316
0.46418482,-0.002713802,3.1793225
0.455411,-0.0027494815,3.1864974
0.44549993,-0.0027696437,3.1933918
0.4401443,-0.0027738935,3.1967459
0.4286904,-0.0027711536,3.203292
0.4163277,-0.0027535981,3.209651
0.4031581,-0.0027218633,3.215857
0.3892872,-0.0026769722,3.2219453
0.37482327,-0.0026199115,3.227949
0.305315,-0.0022463838,3.2549956
0.28952053,-0.002146422,3.261332
0.27383086,-0.0020441136,3.2679389
0.25835463,-0.0019415345,3.2748747
0.2431975,-0.0018408987,3.2821667
0.22846155,-0.0017444189,3.289827
0.21424416,-0.0016543119,3.297865
0.20063438,-0.0015727681,3.306275
0.18771203,-0.001501851,3.3150413
0.17554355,-0.0014435396,3.3241258
0.16975835,-0.0014196667,3.3287656
0.1588104,-0.0013831271,3.3381822
0.14872333,-0.0013626998,3.3477142
0.14401653,-0.0013588923,3.352512
0.13530333,-0.001365045,3.3621607
0.1275534,-0.00139045,3.371875
0.12079243,-0.0014361673,3.3816557
0.11503188,-0.0015029703,3.391504
0.11027024,-0.0015913558,3.4014235
0.10649314,-0.0017014956,3.4114192
0.10367486,-0.0018333863,3.4214978
0.10178009,-0.0019873797,3.4316697
0.10076144,-0.0021624612,3.441936
0.10056296,-0.0023582263,3.4522972
0.10075204,-0.0024638125,3.4575143
0.10166763,-0.0026887225,3.4680266
0.10324279,-0.0029322156,3.4786487
0.10540602,-0.0031924709,3.4893887
0.10808197,-0.0034679386,3.5002484
0.11119337,-0.0037572132,3.5112264
0.118406855,-0.004370401,3.533527
0.13460612,-0.0056858584,3.5793102
0.14243059,-0.006353404,3.6024308
0.14940241,-0.0070099235,3.62518
0.15243527,-0.0073323506,3.6363108
0.15510254,-0.0076479446,3.6471899
