Drone_X,Drone_Y,Drone_Z
1.9733655,1.8955307e-10,3.0250235
1.9729671,-2.1812617e-05,3.01035
1.9709116,-8.260509e-05,3.0019858
1.9662856,-0.00017110356,2.9972682
1.9597567,-0.00026342706,2.9952
1.8812869,-0.00089949893,2.992243
1.8126409,-0.0012944882,2.9863844
1.4671,-0.002740136,2.9375324
1.3500949,-0.0031083692,2.925567
1.2519742,-0.0033789582,2.9183378
1.0752003,-0.003777505,2.9106102
0.8476967,-0.004100244,2.9070623
0.679361,-0.004156981,2.9088392
0.36262077,-0.0035794496,2.9194448
0.2909343,-0.003224708,2.9191396
0.24442266,-0.0028920993,2.9162338
0.21596253,-0.0026152893,2.91237
0.18652627,-0.002209645,2.905169
0.1706596,-0.0018779333,2.8985522
0.1570975,-0.0014013672,2.8884654
0.15145831,-0.00088975875,2.877593
0.15159504,-0.0006215854,2.8725233
0.15486747,-0.00020771004,2.8652964
0.1674461,0.0005020985,2.855484
0.18270575,0.0010742686,2.8512719
0.20156975,0.0016369334,2.8530571
0.22239324,0.0021801295,2.8605766
0.24883325,0.0028186787,2.8768833
0.26870987,0.0032888881,2.8944082
0.28627837,0.0037178416,2.9149892
0.29742622,0.004010831,2.9319239
0.31917468,0.0046936343,2.9726655
0.32619053,0.0051018666,2.9955597
0.3257625,0.0052671367,3.0048597
0.32390854,0.0053626313,3.0102742
0.31641793,0.0055188583,3.0192254
0.30406553,0.0056301025,3.0257654
0.28253493,0.005709275,3.0309274
0.2439316,0.005718786,3.0338285
0.09460313,0.005160428,3.036322
0.07667263,0.005041448,3.0355878
0.07142331,0.0049857553,3.0334568
0.0767956,0.004997086,3.0321977
0.08741129,0.0050495705,3.0331357
0.10947081,0.0051839747,3.0400748
0.1324634,0.005347461,3.0531762
0.152512,0.005509051,3.0698433
0.17184988,0.005686716,3.0918941
0.18600018,0.0058362344,3.1132724
0.1984485,0.005989331,3.1377907
0.20885709,0.0061438447,3.1651592
