#{"t_start": 1726366112.9985447, "env_id": "None"}
r,l,t
-28.526801,190,16.580136
-28.872879,300,19.916814
5.824759,281,23.183001
4.861734,292,26.565324
94.022646,300,30.193035
342.702726,300,33.249692
315.614013,300,34.591564
316.70944,300,35.917681
239.466813,300,37.472542
303.42109,300,38.72791
100.341423,237,42.014681
226.74021,300,45.8204
-1.958181,175,48.424542
49.561546,268,52.451608
138.878387,300,57.017723
34.648587,206,60.240616
-121.169749,300,62.233506
-121.037401,300,63.645411
-247.894359,295,65.045119
-121.626064,300,66.388893
-68.89011,259,67.507522
-141.717001,300,71.655339
-5.746695,270,75.323014
-93.497952,300,79.907813
-299.975409,216,83.454988
-130.663116,198,86.566044
-74.448034,203,89.701276
-17.77492,300,91.579803
36.69882,212,92.615059
77.295574,193,93.628325
-36.305814,288,94.895695
-190.284494,300,96.213444
-27.910147,149,98.418317
-42.575901,86,99.802104
-190.862134,271,103.253937
-57.569991,172,105.763358
-55.790636,96,107.537752
-84.133427,158,110.06534
-78.645333,161,112.689874
-57.515358,96,114.553986
-70.095805,170,117.262156
88.196695,162,120.505069
-84.762939,89,121.196724
110.311625,266,122.417243
-50.771643,255,123.558164
4.111968,300,124.862997
-35.944634,243,128.706364
-64.753265,98,130.293063
-9.956147,300,134.224474
93.512377,182,137.089713
-143.215314,300,141.744792
-108.513702,122,143.709929
-56.055377,95,145.339658
-105.32334,120,147.369512
50.799976,300,149.580677
93.853559,300,150.923851
-3.974781,300,152.275612
20.180576,190,153.290701
78.995266,300,154.519873
231.708003,300,158.891796
-0.431441,146,161.095126
-255.389635,242,164.772481
-91.735,93,166.523796
79.455444,300,171.203632
-77.833004,102,173.103357
97.135071,300,177.74371
31.241487,110,178.985298
65.939129,139,179.782402
31.638904,135,180.593123
27.297017,113,181.305042
219.457695,300,182.626731
1.968136,300,186.648526
-84.35992,126,188.522859
57.110038,144,190.735526
93.289494,300,195.162941
-36.691796,268,199.13037
-35.392911,292,203.513224
144.896737,193,205.86891
-69.195348,125,206.688383
-116.052987,137,207.5012
19.242496,87,208.239002
-130.69585,148,209.179936
102.403857,300,213.258479
-12.061996,161,215.773038
-54.960105,300,219.845961
12.846157,162,222.350814
-48.820741,171,225.189641
1.698374,172,228.099606
31.979402,134,230.316592
-2.586208,66,232.786462
-3.305071,177,233.697454
-36.173324,300,235.014764
-118.987705,300,236.299109
74.159232,143,237.260648
19.482719,137,239.513154
237.466358,300,243.681498
47.473533,166,246.257959
-0.355351,85,247.807031
-89.764855,111,249.686376
174.126738,186,252.656845
3.11536,235,256.19722
116.479575,185,261.538528
-52.750049,300,262.847164
23.18002,192,263.820087
31.632,114,264.601117
24.440624,300,265.911175
10.537151,96,267.533783
26.658791,124,269.339613
9.608334,235,272.509896
7.317057,74,273.940151
21.375909,104,275.678634
-13.674211,151,278.160271
-58.128912,243,281.640915
-35.586585,300,286.232841
-4.398857,69,287.55722
-12.479776,137,290.153761
-8.346994,210,291.187991
-5.542757,48,291.721949
-18.332413,206,292.764974
4.492659,214,293.894346
-4.620362,217,296.892571
2.541617,130,298.978469
76.40401,163,301.559088
71.713239,300,305.667039
219.663802,300,309.820988
-3.027664,87,311.434079
46.426216,286,315.90368
-2.194587,53,317.07375
113.471244,186,318.001034
10.499099,88,318.634973
101.907373,142,319.406567
97.481559,159,320.363159
-61.979015,300,324.665656
47.287877,253,328.268735
33.531208,127,330.486988
8.063716,193,333.384704
41.648023,235,336.746644
-4.669527,200,340.184599
88.148757,170,342.932289
31.157577,119,344.36877
31.118441,118,345.133311
34.033587,298,346.376698
280.896071,300,347.540046
109.198953,263,348.77845
87.893457,229,351.861704
123.84352,224,355.063326
-7.010887,74,356.453027
-37.040069,115,358.324757
3.979331,87,359.718338
91.503035,154,361.926722
-39.443574,242,365.194456
20.698288,120,367.07395
-43.860109,207,371.948487
115.476195,177,372.913987
-12.023675,59,373.540311
117.019261,171,374.473163
60.381452,300,375.680891
61.884461,144,377.978331
79.861987,282,381.970825
-28.192155,252,385.56069
10.733495,167,388.105473
349.77588,300,392.424685
47.381547,174,395.055879
-42.687144,295,399.259307
-112.667285,300,400.616372
187.614832,234,401.76822
-69.601211,197,402.776089
121.641162,169,403.685626
-72.358187,251,407.345647
-85.879919,189,410.277501
-75.268373,138,412.667369
28.353143,114,414.446023
-39.478927,213,417.564348
18.352621,175,420.292365
53.258721,284,424.776013
18.428419,136,427.08712
42.121159,231,428.630537
118.922167,300,429.982418
30.181431,235,431.063441
102.30686,166,431.96524
51.615213,285,433.150512
31.517215,122,435.132816
82.310258,300,439.606643
-25.851954,249,443.297862
232.032111,300,447.292626
107.850632,264,451.233409
-7.952763,62,452.49233
-97.514081,271,456.880569
25.329927,87,457.577086
8.06094,151,458.532835
52.740281,128,459.343968
111.831811,220,460.42267
25.425038,176,463.120296
43.158834,125,465.094756
22.016453,125,467.233367
81.423928,298,471.700681
-1.549037,177,474.37096
15.114579,117,476.383709
-53.194031,154,478.832444
16.062027,107,480.817448
185.657266,211,485.041346
15.516934,79,485.74477
6.29224,66,486.368051
198.024919,300,487.592573
257.538713,300,488.994747
-1.625103,84,490.460035
177.550026,300,494.877798
17.005314,250,498.643845
-44.758079,98,500.274935
44.062441,129,502.259355
-6.223823,70,503.51053
-113.477786,300,507.852031
-13.564656,76,509.347099
-27.970828,155,511.95006
-5.555368,64,513.476919
-4.722049,55,514.083833
-115.185647,250,515.273684
-4.874072,56,515.828324
178.218996,300,517.129592
6.246324,106,518.892443
39.61409,126,520.964245
-20.66799,174,523.741134
267.141294,300,528.299895
11.911953,164,530.904189
70.822265,196,533.964612
7.02629,129,536.293316
-117.216216,300,540.908857
34.780853,117,542.134601
151.219252,242,543.143502
37.44044,127,543.86472
42.974493,169,544.76662
37.574798,127,545.54429
-16.461461,300,549.948628
40.302149,129,552.114682
92.213562,168,554.767241
27.452584,300,558.770633
10.461773,82,560.228331
76.812117,188,563.299526
1.911664,61,564.566499
22.647767,112,569.450306
60.31735,145,570.347112
-81.992747,287,571.5953
-1.424985,59,572.187097
80.60104,166,573.125021
-118.549422,300,577.440271
51.393664,134,579.710444
11.447819,300,583.973822
27.926664,179,586.597756
-173.71849,300,591.027821
-6.866832,52,596.075344
-2.959138,83,596.732658
3.172746,210,597.893808
0.589206,176,598.822886
-7.842939,58,599.437864
76.313202,277,603.711213
125.94261,300,608.066838
263.269732,300,612.812042
194.972902,300,617.079254
130.442669,300,621.690624
27.328146,221,623.532218
289.466605,300,624.945
205.36906,248,626.181516
96.129515,216,627.294675
139.317586,275,628.50039
110.89648,161,630.912928
80.641396,300,635.230875
-63.602292,178,637.857411
-34.328401,300,641.843035
-60.977833,161,644.294506
-4.573736,233,647.915797
3.302504,142,651.595299
5.901042,137,652.389192
58.693892,300,653.606894
120.358503,256,654.738978
26.150049,229,655.750359
54.811659,128,657.789132
89.207681,300,662.269812
87.293538,272,666.300147
97.309186,300,670.413111
-219.629219,300,674.877396
25.068613,300,679.351561
29.802398,138,680.150162
156.83341,283,681.419849
26.612191,126,682.161593
35.863888,118,682.859664
29.921393,124,684.856159
24.303043,131,686.815811
113.407638,253,690.804177
-163.068848,300,695.203424
-87.922327,230,698.423515
70.061367,162,700.928762
-104.026686,300,705.432626
-3.40702,81,706.484139
370.717059,300,708.202108
-0.896205,91,708.884109
104.0183,270,710.019688
-2.555717,104,710.717081
54.763091,148,712.80468
30.768131,119,714.711187
60.956712,134,717.029716
21.033883,115,719.063453
53.036604,194,722.092667
87.033847,171,724.438647
254.499032,300,728.390307
-13.86332,70,729.785553
-286.449323,240,733.364734
-35.653413,269,735.069293
-194.748954,221,736.08288
167.841034,236,737.223031
-89.466556,300,738.531366
-93.971178,114,739.243021
173.729779,256,742.765579
70.957356,139,744.88218
-17.338285,119,746.865059
-101.629515,99,748.676894
63.164975,217,751.867386
121.351875,206,754.944092
18.87258,246,758.806533
2.522943,87,762.815077
-235.52568,235,763.887956
