#{"t_start": 1726276946.6498933, "env_id": "None"}
r,l,t
-37.524317,186,12.701055
-48.820733,300,19.734473
205.138847,300,26.62786
65.312806,300,33.271622
10.472393,209,37.110805
-181.535586,205,41.035026
286.64883,300,43.607136
48.117741,300,45.368757
287.87759,300,47.442832
206.388882,300,49.171098
177.233382,300,50.757978
88.65493,193,54.717888
-108.339874,186,59.120977
-160.869997,177,62.860127
95.866249,300,69.3424
93.718014,182,73.335757
95.224304,171,76.901677
62.647788,265,82.720346
77.961983,250,85.128467
59.542197,251,86.560367
-174.597727,139,87.498972
-179.545521,114,88.349131
73.659219,300,89.89605
-138.783996,218,94.478592
-25.719682,300,100.581381
-57.105425,172,104.444829
-28.034734,206,109.015879
110.837028,258,114.341002
-83.729392,174,118.158095
-141.234436,95,122.934841
-7.599805,86,123.707979
-295.561623,300,125.480475
-106.328267,178,126.63151
-150.438412,95,127.456659
207.078898,248,133.454508
-113.114878,300,139.796684
-188.221578,300,146.176069
63.595554,170,149.955027
-30.116599,126,152.844036
65.898317,300,159.378913
81.270525,139,162.151376
33.405079,125,163.140361
-33.792449,201,164.584049
94.859686,149,165.796115
-51.264148,204,167.193831
-19.758724,229,172.02898
97.56043,189,176.094881
55.067933,228,181.310285
267.945404,300,188.208044
229.318144,229,194.016406
200.146073,300,200.77615
403.463917,289,204.410158
-173.55792,109,205.259276
-144.433594,137,206.233896
218.881276,296,208.244404
-145.597574,123,209.207699
324.006398,280,216.22398
-2.522187,300,222.885922
131.219773,300,229.715689
145.164287,300,236.377418
304.394523,300,242.554694
207.056204,261,244.998838
199.101688,268,246.876467
303.466611,300,249.061217
373.029404,300,251.333385
26.482458,227,252.752997
253.551191,300,259.001163
39.868943,227,264.034697
107.600233,163,267.827381
221.143768,300,274.348745
97.015029,147,277.801578
251.714692,300,284.509258
173.590191,201,287.403764
263.963836,300,289.187298
120.72669,168,290.369737
244.069619,247,292.178641
270.243818,300,294.13094
238.655865,268,300.105136
217.370361,300,306.513034
160.295436,269,312.045156
400.896659,300,320.168471
84.817432,218,324.994409
354.133185,295,330.651026
219.835628,287,332.608291
167.417057,267,334.314823
200.66457,300,336.159898
153.080986,300,337.971757
104.338189,230,343.043258
171.935242,260,349.462367
245.422808,300,355.532321
128.677847,231,360.87615
125.436602,290,366.937834
82.375098,143,371.897743
-173.73025,148,372.940388
34.601465,218,374.405958
-162.738808,152,375.403998
-148.961685,143,376.407343
-12.171696,274,382.179133
177.812553,275,387.8795
133.528298,300,394.185347
258.796817,300,400.450527
-178.066959,112,403.043389
394.825523,300,410.1477
200.069206,251,411.603202
275.299788,300,413.467954
345.618474,300,415.903128
343.450355,300,418.185706
83.118193,298,424.88903
-250.193211,154,428.250093
178.102561,300,434.233407
254.508234,300,440.881019
-20.803495,215,445.211939
150.275392,223,449.387753
239.640972,300,451.548139
-225.973244,300,453.09644
-119.444194,210,454.409376
108.00787,152,455.591264
-17.009811,127,456.599594
224.427333,300,462.669648
235.805731,300,468.600132
258.302965,300,474.933361
139.876325,300,481.178115
85.201188,189,484.929337
166.42168,192,488.819408
243.49289,300,490.505323
229.436836,278,492.180906
193.155572,300,493.881846
288.639247,300,495.892527
381.719009,300,503.824715
57.892508,249,509.341717
309.499237,300,516.342494
328.198136,300,523.050344
158.964636,213,527.596952
307.264262,300,532.400043
202.808992,300,534.080404
315.541277,300,535.902218
214.915028,300,537.704862
196.811331,300,539.402968
178.207304,207,544.536375
214.66872,300,550.708161
187.477715,254,556.075908
-13.880439,71,557.953528
201.959212,300,564.722231
175.667999,224,569.110863
199.609138,299,574.113883
171.859665,254,575.817246
143.57346,162,576.917612
187.130922,273,578.599135
289.625404,300,580.795103
215.698827,300,587.780245
1.689122,121,590.706762
172.381302,300,596.757698
220.941597,300,603.021784
171.695204,204,607.717267
258.020329,300,615.86134
231.47157,246,617.588016
195.191862,288,619.48453
198.453251,292,621.418507
152.225355,284,623.228538
123.918951,243,628.395602
156.746675,300,634.506403
220.869476,300,640.74896
151.493502,178,644.844847
259.160506,300,650.900114
-40.557905,130,653.924498
149.495426,300,657.075211
328.169987,300,659.120608
331.282066,300,660.966373
154.46689,300,662.720088
361.29382,300,664.624937
135.130463,158,668.242603
-62.823827,159,671.664813
146.324997,233,676.439292
103.057386,230,681.742629
-141.037468,300,687.78302
115.206342,158,691.625752
331.761745,300,698.942349
169.95512,214,700.356451
336.532791,300,702.342206
312.420721,300,704.513318
158.397259,300,706.246963
201.57205,300,712.527454
313.356496,300,719.469021
136.419862,249,725.045743
272.565808,300,732.075577
91.28469,164,735.583222
183.050221,185,740.198508
217.282028,300,742.621782
396.703428,300,745.144407
279.540802,300,746.951638
300.027544,300,748.770969
296.8676,300,750.650359
8.267989,278,756.850661
142.268809,300,763.291193
83.451969,259,769.00148
95.517884,287,775.47951
254.349677,277,781.273171
327.355917,300,785.355449
332.893801,300,787.169082
290.021385,300,788.892964
247.247905,300,790.86712
55.052208,278,792.551284
70.104609,300,799.481087
22.653211,203,803.86975
260.86032,300,810.351943
64.46623,190,814.468998
112.174048,187,818.663805
170.948036,241,823.536074
279.659878,300,827.246248
298.161794,300,828.99657
311.479,300,831.074733
301.654982,300,833.01025
318.954534,300,834.915644
64.662725,185,839.047737
56.241341,266,844.407321
193.526034,300,850.751902
205.373864,300,857.088871
1.707123,164,860.59761
181.743006,300,868.094774
252.346996,300,869.7846
200.633668,282,871.700389
-11.184785,261,873.116682
220.046153,300,874.767084
220.047492,300,880.789929
138.659855,274,886.567403
-18.099665,173,890.54784
68.063331,215,895.489757
-37.102208,253,900.665911
-12.918509,190,904.675315
242.828001,298,909.079179
323.55457,300,911.290002
252.341849,300,912.972135
259.30424,300,914.60867
353.297192,300,916.654878
133.548724,292,922.4482
64.539529,146,925.878334
-2.56715,248,931.174263
-42.165751,236,936.120239
113.10007,223,940.738653
221.76584,300,946.902991
294.448759,300,950.167827
195.450283,275,952.141423
329.703335,300,953.912693
135.033578,185,955.301935
340.351121,300,957.208828
-4.518035,160,960.589677
106.701034,248,966.348852
152.178402,300,972.426135
-8.318647,218,977.37885
247.692799,300,983.295845
109.740132,183,987.405929
368.928415,300,991.480677
142.369102,243,993.205893
214.715124,235,994.818217
319.106127,300,996.488844
-73.894208,238,998.025832
227.495113,300,1004.358213
218.714491,300,1010.299228
-8.162336,171,1014.042288
203.945948,269,1019.503755
275.918507,300,1025.717264
215.173703,237,1031.050599
-36.792006,199,1032.261849
-71.118887,216,1033.520207
1.421209,230,1034.937309
-83.24846,229,1036.185329
34.32678,164,1039.812428
108.329014,263,1045.554712
-224.078438,300,1051.695646
-24.639482,235,1056.6019
93.530292,182,1060.52038
-48.704353,265,1065.994971
261.352668,300,1069.715253
160.747429,300,1071.59422
-400.14881,223,1072.868448
114.493772,300,1074.227965
-171.754173,300,1075.838991
204.738209,300,1082.008324
50.652879,188,1085.936154
-278.127968,169,1089.532708
29.631566,195,1093.740836
114.877032,189,1097.862379
253.297018,300,1104.05879
133.711096,300,1109.096977
261.508621,293,1110.605976
150.359476,197,1111.98526
155.938433,196,1113.274209
165.868456,208,1114.625823
16.660465,300,1120.885137
160.24502,181,1124.988377
60.2342,146,1128.110137
-529.0985,300,1134.169069
233.597296,300,1141.755074
206.979579,300,1149.34068
333.142643,300,1151.457417
268.9566,300,1153.199509
311.153623,300,1155.116731
108.633486,202,1156.57016
192.155126,300,1163.603729
28.027787,152,1166.992622
122.419452,247,1172.428798
105.783086,199,1176.437318
145.331436,264,1182.181379
66.08706,148,1185.541581
24.995961,274,1190.932201
37.892467,300,1192.723905
242.384603,300,1194.275729
286.201867,300,1195.861441
305.300754,300,1197.778604
145.458519,300,1204.997536
22.852829,300,1211.260638
-381.876801,224,1215.922588
274.448944,300,1222.638057
274.491491,300,1229.175778
-44.790266,300,1232.572237
26.680426,114,1233.420446
271.557288,300,1235.211199
317.413931,300,1236.937157
-212.457541,300,1238.693587
147.121583,300,1245.296464
54.546867,300,1252.158993
100.620944,300,1258.3367
15.072541,300,1264.582467
76.950635,300,1270.347495
-48.59599,300,1272.353394
333.769071,300,1274.110104
104.953484,184,1275.37652
-20.169262,300,1277.026122
-10.892057,235,1278.456624
-87.477814,300,1285.093699
120.981958,300,1291.33751
171.50056,210,1296.145699
205.824074,300,1302.408677
-0.838664,300,1308.376151
339.635836,300,1312.046143
