#{"t_start": 1726317335.3833363, "env_id": "None"}
r,l,t
-28.526801,190,18.416905
-28.872879,300,23.373993
5.824759,281,27.789769
4.861734,292,32.450796
94.022646,300,37.277539
342.702726,300,41.017582
315.614013,300,42.605891
316.70944,300,44.216924
239.466813,300,45.791177
303.42109,300,47.311278
100.341423,237,51.388133
226.74021,300,55.901323
-1.958181,175,58.938673
49.561546,268,63.424262
138.878387,300,68.004616
34.648587,206,71.164285
-121.169749,300,73.019431
-121.037401,300,74.227719
-247.894359,295,75.559045
-121.626064,300,76.829287
-68.89011,259,78.023587
-141.717001,300,82.525092
-5.746695,270,86.971562
-93.497952,300,91.812542
-299.975409,216,95.474447
-130.663116,198,99.006397
-74.448034,203,103.102157
-17.77492,300,105.440483
36.69882,212,106.870529
77.295574,193,108.128993
-36.305814,288,109.669669
-190.284494,300,111.178175
-27.910147,149,114.280965
-42.575901,86,116.188195
-190.862134,271,122.419567
-57.569991,172,126.483865
-55.790636,96,129.061096
-84.133427,158,132.908726
-78.645333,161,136.824136
-57.515358,96,139.494188
-70.095805,170,143.2165
88.196695,162,147.102097
-84.762939,89,147.921125
110.311625,266,149.485917
-50.771643,255,150.895815
4.111968,300,152.584063
-35.944634,243,157.760914
-64.753265,98,160.199881
-9.956147,300,166.430577
93.512377,182,170.581578
-143.215314,300,177.040151
-108.513702,122,180.184093
-56.055377,95,182.465685
-105.32334,120,185.079108
50.799976,300,187.696339
93.853559,300,189.262902
-3.974781,300,190.836279
20.180576,190,192.023244
78.995266,300,193.623743
231.708003,300,200.119652
-0.431441,146,203.556549
-255.389635,242,208.972337
-91.735,93,211.431915
79.455444,300,217.895977
-77.833004,102,220.515687
97.135071,300,226.126008
31.241487,110,227.754947
65.939129,139,228.806038
31.638904,135,229.856651
27.297017,113,230.755581
219.457695,300,232.451624
1.968136,300,239.083851
-84.35992,126,242.104028
57.110038,144,245.484237
93.289494,300,252.03656
-36.691796,268,257.963424
-35.392911,292,263.903277
144.896737,193,266.844095
-69.195348,125,267.786911
-116.052987,137,268.800345
19.242496,87,269.66024
-130.69585,148,270.831409
102.403857,300,277.45875
-12.061996,161,281.336264
-54.960105,300,288.087975
12.846157,162,291.821794
-48.820741,171,295.696405
1.698374,172,299.437038
31.979402,134,302.40152
-2.586208,66,305.422377
-3.305071,177,306.560767
-36.173324,300,308.239954
-118.987705,300,309.947625
74.159232,143,311.0485
19.482719,137,314.297065
237.466358,300,320.905627
47.473533,166,324.735675
-0.355351,85,326.927418
-89.764855,111,329.578123
174.126738,186,333.799619
3.11536,235,338.691338
116.479575,185,345.762758
-52.750049,300,347.33772
23.18002,192,348.535461
31.632,114,349.589823
24.440624,300,351.343714
10.537151,96,353.631135
26.658791,124,356.520298
9.608334,235,361.690661
7.317057,74,363.75379
21.375909,104,366.12495
-13.674211,151,369.657526
-58.128912,243,374.737482
-35.586585,300,380.935448
-4.398857,69,382.9093
-12.479776,137,386.487992
-8.346994,210,387.873116
-5.542757,48,388.584084
-18.332413,206,389.895212
4.492659,214,391.275211
-4.620362,217,395.72177
2.541617,130,398.766269
76.40401,163,402.520214
71.713239,300,409.010789
219.663802,300,414.973214
-3.027664,87,417.081789
46.426216,286,423.422035
-2.194587,53,425.041898
113.471244,186,426.149205
10.499099,88,426.949647
101.907373,142,427.953609
97.481559,159,429.017527
-61.979015,300,435.266004
47.287877,253,440.785006
33.531208,127,443.698511
8.063716,193,448.083104
41.648023,235,453.26343
-4.669527,200,457.275561
88.148757,170,461.123576
31.157577,119,462.95997
31.118441,118,463.887146
34.033587,298,465.473145
280.896071,300,467.063022
109.198953,263,468.526713
87.893457,229,473.11943
123.84352,224,477.936998
-7.010887,74,479.961595
-37.040069,115,482.856311
3.979331,87,485.109821
91.503035,154,488.463196
-39.443574,242,493.549962
20.698288,120,496.381934
-43.860109,207,503.391028
115.476195,177,504.589076
-12.023675,59,505.336058
117.019261,171,506.463939
60.381452,300,508.027978
61.884461,144,511.081743
79.861987,282,517.037457
-28.192155,252,522.489272
10.733495,167,526.018741
349.77588,300,532.227983
47.381547,174,536.209378
-42.687144,295,542.184899
-112.667285,300,543.758352
187.614832,234,545.285222
-69.601211,197,546.685751
121.641162,169,547.843173
-72.358187,251,552.704924
-85.879919,189,556.775893
-75.268373,138,560.132815
28.353143,114,562.823584
-39.478927,213,567.400927
18.352621,175,571.273276
53.258721,284,577.002268
18.428419,136,580.132896
42.121159,231,581.988306
118.922167,300,583.829533
30.181431,235,585.241389
102.30686,166,586.411438
51.615213,285,587.819912
31.517215,122,590.623189
82.310258,300,596.661359
-25.851954,249,601.739414
232.032111,300,607.990967
107.850632,264,613.183657
-7.952763,62,614.792502
-97.514081,271,620.961766
25.329927,87,621.846477
8.06094,151,622.89489
52.740281,128,623.949657
111.831811,220,625.367217
25.425038,176,629.130931
43.158834,125,631.833657
22.016453,125,634.579241
81.423928,298,640.77798
-1.549037,177,644.974809
15.114579,117,647.68027
-53.194031,154,650.810528
16.062027,107,653.397118
185.657266,211,659.344678
15.516934,79,660.156997
6.29224,66,660.891456
198.024919,300,662.552087
257.538713,300,664.395798
-1.625103,84,666.418294
177.550026,300,672.39549
17.005314,250,677.446511
-44.758079,98,679.779038
44.062441,129,682.632715
-6.223823,70,684.422939
-113.477786,300,690.337196
-13.564656,76,692.382539
-27.970828,155,695.880195
-5.555368,64,697.801605
-4.722049,55,698.504794
-115.185647,250,699.972536
-4.874072,56,700.699224
178.218996,300,702.358335
6.246324,106,704.852609
39.61409,126,707.66258
-20.66799,174,711.123378
