#{"t_start": 1725888793.7208693, "env_id": "None"}
r,l,t
-184.579762,300,8.155757
-149.282974,246,13.687848
-237.231116,270,18.53316
-172.151415,300,24.093278
-228.96376,256,28.992459
-229.96743,284,34.073087
-241.858566,300,39.614152
-211.923185,290,45.21485
-221.819024,300,53.286252
-126.035438,190,58.375651
-162.803431,268,65.659766
-229.194072,266,72.584904
-267.486786,300,80.742472
-236.384302,300,88.531542
-230.712821,242,94.852634
-259.037782,300,102.545973
-235.954896,300,110.213043
-208.310397,280,117.381449
-151.298558,300,125.153541
-154.36522,266,132.167342
-209.011705,300,140.005214
-145.188366,206,145.4476
-257.757426,300,153.111982
-258.475266,300,160.914152
-172.775007,256,167.358232
-260.503627,299,174.92451
-232.730157,300,182.50211
-216.757853,300,190.216576
-215.055289,300,198.000778
-251.408394,300,205.644593
-235.305354,293,213.179084
-250.693828,296,220.656558
-100.699337,164,224.880723
-199.64708,300,232.369888
-176.064661,255,238.960044
-199.430013,300,246.600467
-249.446629,283,253.784509
-223.253992,300,261.378917
-233.309608,280,268.65852
-221.246871,300,276.330357
-180.339397,247,282.559627
-222.768802,268,289.387153
-233.180096,300,296.957645
-214.442021,251,303.680117
-209.619345,300,311.285152
-138.371408,185,315.975105
-206.508374,300,323.621269
-214.282756,300,331.260384
-191.840394,300,338.795531
-223.051038,300,346.145014
-259.542083,296,353.900236
-263.026658,300,361.576832
-238.780513,284,368.835973
-123.3374,300,376.575244
-88.156035,300,379.441108
-151.629368,300,382.416073
152.033705,300,385.357159
-247.393138,300,388.089629
-214.522098,300,395.987543
-187.189571,265,403.068815
-168.272545,232,409.489821
-135.599665,223,415.927185
-270.848924,300,424.305014
-216.329527,300,432.368249
-206.285271,241,439.213889
-213.901364,300,447.421512
-264.881904,300,454.639236
-217.998337,300,459.498273
-190.984241,295,463.969435
-147.67938,300,468.63099
-107.775284,285,472.720138
-239.010288,300,477.216124
-223.766117,288,481.459186
-245.492741,300,486.216075
-221.792106,300,491.610236
-209.240911,300,496.344573
-217.29447,300,500.901091
-185.553168,300,506.283141
-209.577515,233,510.814926
-234.062709,300,515.895354
-206.522053,252,520.244079
-209.104648,242,524.5782
-102.115258,154,527.30827
-175.016178,235,531.20665
-218.340962,236,534.990307
-179.542134,198,538.2894
-181.411771,300,544.208802
-163.490146,243,548.198606
-185.490605,247,552.130931
-265.708788,300,557.023446
-180.438725,225,560.846412
-253.047522,285,565.337756
-102.934029,139,567.853173
-248.864539,300,572.711469
-242.064209,300,577.26385
-205.686717,300,582.828648
-92.791821,169,586.380509
-201.34327,300,591.311933
-87.360469,142,593.760137
-146.690415,285,598.150435
-266.06881,300,602.729013
-200.233995,300,607.751157
-201.200547,300,612.67453
-219.614178,250,616.590791
-187.991366,245,620.594755
-152.175382,236,624.805423
-254.447194,295,630.098901
-182.052474,243,633.967801
-140.547548,152,636.713975
-162.521928,246,640.411047
-142.397554,246,644.676803
-182.519871,263,649.021614
-214.565131,291,653.60322
-216.502955,258,657.973369
-201.302984,239,662.255038
-80.438476,93,664.072229
-225.566452,300,666.01492
-144.750138,174,667.596224
-212.508198,300,669.782497
-157.985264,264,671.774645
-99.086296,145,674.662278
-170.245558,229,678.63234
-158.309403,202,681.901324
-117.997976,159,684.973987
-194.04787,291,689.587318
-107.747566,120,691.86798
-214.061889,300,696.168684
-193.036382,261,700.685322
-104.527811,113,703.493964
-181.090169,241,708.100303
-143.202875,153,710.819239
-226.380434,300,716.075237
-135.142351,143,719.113539
-192.569882,264,723.889544
-185.851124,235,727.944345
-229.067382,300,733.972763
-122.847222,231,738.773419
-239.653292,300,744.909845
-129.652405,161,748.324158
-215.180849,273,754.214626
-131.182213,208,758.858419
-112.558036,137,761.743776
-28.446335,199,765.989283
-199.949732,300,772.091366
-182.024991,276,777.833746
-105.704124,118,780.734116
