#{"t_start": 1725894849.9595098, "env_id": "None"}
r,l,t
122.42404,300,5.759722
93.992379,243,9.197934
67.709921,166,12.015682
109.579071,300,16.454436
107.006001,300,20.053043
75.134075,300,23.681585
101.646024,300,27.242506
101.97822,300,30.977077
112.059731,300,34.87576
34.464837,269,38.16639
82.502068,241,42.432109
61.643839,282,45.901565
82.783248,285,49.942188
88.481178,275,53.44613
138.305785,300,57.215801
116.984664,283,61.606735
128.332512,300,65.713019
36.040003,300,69.57927
81.482376,186,73.03094
48.542901,207,75.7432
48.777662,279,78.984654
108.780302,300,82.627879
58.449898,300,86.215289
115.367474,300,89.628314
117.121639,300,93.338799
44.251853,300,96.967755
45.353395,252,100.168073
67.081255,274,103.611821
98.577368,300,107.504327
78.390114,275,110.793692
47.458949,240,114.148164
83.070908,300,117.927956
58.532178,165,120.520568
81.281671,300,124.10358
102.813823,300,128.130724
153.97076,293,133.852813
166.811894,300,136.700768
163.211133,300,138.241313
162.87333,300,140.10895
191.365301,300,142.29375
234.255818,300,145.556314
112.886716,300,150.225255
73.691066,257,153.497891
48.284023,182,156.243325
96.125744,300,159.985282
8.638803,175,162.472361
136.310002,300,166.122426
111.158743,300,170.185642
113.418678,300,174.233937
138.956657,300,179.027626
109.847233,300,182.763244
71.067972,235,185.673924
102.53886,300,189.468574
44.68125,247,192.527571
119.403102,300,196.239725
101.005891,283,199.767262
111.805129,300,203.297528
122.787374,300,206.840771
121.566023,300,210.368489
80.507284,287,214.181326
78.938192,300,217.718029
68.594336,214,220.370158
33.73278,300,223.795454
109.535163,300,228.362753
113.7168,300,233.000272
77.4235,300,237.000091
127.213733,300,242.566661
97.482819,298,247.663996
111.162325,298,252.958095
125.191502,246,258.095771
67.525086,300,262.822268
89.951154,247,266.657281
45.361281,169,269.494478
84.309814,183,273.025126
184.556826,270,278.575029
23.788783,281,283.155825
116.859438,254,287.742299
14.926342,114,291.652051
19.478443,125,292.50483
15.459391,187,293.539796
-30.577095,300,295.052413
27.087218,139,296.060575
64.879636,300,301.024406
36.13456,236,304.859822
136.934622,300,310.205448
193.643955,300,317.254736
65.914417,252,321.6314
102.421407,300,326.77615
114.159309,300,332.370372
66.552921,190,335.686964
73.855282,300,341.078139
90.818036,300,345.931495
104.634697,206,349.847882
37.67026,148,352.467171
32.500451,142,355.181472
54.181911,186,359.082936
247.575408,261,365.385285
132.039345,300,370.744314
39.009301,145,373.340393
48.511487,185,376.67899
50.205249,239,381.086672
21.663564,116,383.600802
15.575201,163,387.00727
12.634252,135,389.322893
28.797176,152,392.436843
55.536266,300,397.937695
41.725804,182,401.452736
126.064769,300,406.617939
18.461793,247,411.345171
45.619271,275,416.500604
114.557379,300,421.61084
68.168344,292,426.964748
25.761639,300,431.884359
25.154707,95,433.791125
60.676291,216,438.003253
18.875937,250,442.677756
45.418836,300,447.724235
71.181563,300,453.034616
7.443179,146,455.875168
116.187523,300,461.620557
-4.458833,109,463.880647
92.732924,300,468.834924
16.084265,123,471.251643
12.433643,121,473.654154
4.631014,136,476.040612
67.762655,300,481.76793
44.27518,138,482.658585
13.858661,46,483.209995
33.846163,109,483.962723
29.4928,132,484.809978
110.138086,300,490.209472
72.110295,300,495.028648
45.209854,155,497.834087
74.298097,157,500.656965
89.570836,297,506.293788
131.515347,300,511.554938
54.672524,134,514.047144
51.744033,189,517.333657
45.645682,149,520.098209
65.145081,148,522.701722
77.120093,232,527.041321
98.197951,300,531.841882
46.008015,136,534.490275
106.732649,281,539.595401
181.406988,244,544.665476
56.017858,273,548.995489
82.405478,233,553.072382
111.582631,231,558.060079
67.091362,209,561.959966
29.554277,300,566.958708
77.779936,163,570.456184
87.628378,282,575.291775
36.160913,144,577.777336
32.290345,144,580.629556
37.587282,136,583.328729
75.724295,195,587.171859
97.636383,277,592.061834
70.318317,179,595.304755
79.09383,231,599.522006
36.066208,122,602.191009
42.245937,122,604.759088
51.038819,158,607.696241
33.108745,104,609.702231
37.724665,112,611.892847
130.387812,235,617.076245
39.007647,154,620.062044
98.807036,199,624.23116
69.387862,161,627.275082
71.333254,152,630.37451
64.629041,300,635.543787
35.617601,121,637.789588
124.819949,300,643.261286
41.048297,136,645.799392
86.614088,147,648.845528
91.267524,183,652.504174
101.148234,222,656.771453
104.696519,300,661.573055
60.02242,223,665.213547
65.207839,218,669.95702
38.713549,120,670.802402
123.146891,300,672.185902
38.202407,118,673.015972
148.481571,300,674.361675
65.463333,184,677.786738
84.562239,215,681.247382
128.012949,235,686.130006
82.408542,200,689.339586
96.710792,165,692.563752
82.798793,146,695.324241
78.605121,199,698.737427
79.396292,207,702.260765
132.840413,238,707.275772
147.320176,300,712.284883
121.483006,300,717.091138
43.763711,158,719.888727
223.157848,258,725.443348
69.318563,215,728.965024
75.461764,169,731.665269
67.59967,222,735.254705
71.45656,200,738.383701
94.784031,207,742.203112
139.37859,269,747.085438
74.976977,255,751.100282
123.555763,300,755.831992
110.501836,212,759.311849
99.97212,300,763.97379
99.109361,211,767.75135
45.925457,217,771.172724
112.388656,209,775.063327
176.451873,252,779.931798
71.590994,300,784.577194
66.016163,171,787.495939
80.858472,203,791.186552
98.095789,300,795.507528
90.8045,151,798.524584
71.218678,253,802.691659
66.899148,202,805.880773
68.635504,211,809.295749
71.334708,300,814.227751
106.506575,211,818.401361
42.127071,132,820.847548
87.453139,210,824.236404
120.978735,300,829.74716
148.005589,300,835.339944
58.490738,223,838.968354
106.334503,300,844.324924
130.109982,234,848.694062
57.869884,140,849.546714
127.363946,183,850.878688
45.337011,117,851.667612
79.101796,141,852.612899
66.236797,242,856.806679
71.676166,148,859.338365
126.300921,192,863.237772
95.053826,237,867.118994
62.146928,242,870.972502
100.260386,300,875.633088
58.845588,228,879.48677
43.832617,156,882.299249
113.556918,300,887.88519
82.24263,223,891.379162
47.476219,161,894.055765
72.550897,207,897.485029
61.656587,167,900.522473
133.802248,300,905.445488
37.094806,122,907.725743
80.794746,280,912.322156
73.631547,223,916.347988
76.842333,202,919.80545
44.311243,124,922.045006
59.423393,300,927.135873
45.145118,127,929.476522
144.886206,300,934.216912
46.287135,138,936.587601
58.550719,221,940.261663
47.723697,197,943.588573
80.208856,183,946.631691
55.20857,212,950.273607
90.994679,172,953.323354
38.959935,136,955.713669
31.501035,123,958.032828
33.872962,122,960.292127
30.083503,111,962.370122
33.183557,132,964.952315
38.268786,122,967.264324
36.562958,125,969.531461
118.930057,252,974.004544
47.721487,149,976.501012
106.97572,226,980.291456
59.231708,195,983.525409
36.409369,142,985.906686
33.659994,117,988.013322
32.155004,118,990.125561
113.248747,300,995.48649
