#{"t_start": 1725852339.9142833, "env_id": "None"}
r,l,t
124.423699,300,7.137181
102.038631,235,12.249599
72.39924,260,18.538277
111.450592,259,24.758873
106.529738,300,31.317039
32.022444,165,34.975361
80.213445,300,41.652858
60.57366,300,48.019946
113.216242,300,54.842336
135.707237,300,61.43535
75.140688,283,67.711133
107.155459,300,74.402993
91.029568,300,81.235289
80.977187,275,87.448366
142.30015,300,94.32505
129.403295,300,101.214372
121.973871,300,108.180006
91.912036,300,115.158283
82.22637,300,122.134036
79.619982,248,128.15874
113.870002,259,134.278731
222.362185,285,141.165334
105.375896,300,148.318278
120.316081,300,155.402199
145.150359,300,162.519215
104.252665,242,168.240369
83.744976,300,175.261591
92.223083,300,182.195935
133.37901,300,189.36617
80.874519,199,193.985308
125.834147,300,201.087608
93.599711,276,207.405805
88.462405,300,214.532621
110.43319,267,220.818908
130.889299,300,227.957217
99.223947,300,234.992543
117.431147,278,241.699871
97.686973,300,248.600251
119.023007,283,255.08949
102.473859,300,261.971927
60.456759,248,267.727622
100.317766,300,274.809668
123.605132,300,281.997833
48.677212,300,289.222117
86.357652,248,294.992198
83.244235,300,301.71645
95.459544,300,308.855993
102.080031,300,315.966985
104.550307,257,321.786796
114.789517,300,328.635515
95.259636,282,335.196812
117.370574,295,341.550202
134.203512,300,350.491791
166.257165,300,353.504953
150.107734,300,356.18466
146.387336,300,359.13126
136.577849,300,361.984459
49.962408,191,366.526668
125.264096,300,373.394661
112.744447,266,379.528514
87.08382,300,386.192169
102.264051,262,392.209243
74.299392,290,398.613587
71.191046,300,405.35793
55.865035,160,409.089383
52.30808,216,414.193282
94.386237,267,420.67976
96.407001,218,425.786721
71.630599,262,431.852735
109.583576,242,437.707049
123.044151,300,444.6884
102.270768,229,449.932415
67.958246,239,455.389998
72.602223,215,460.6206
70.524488,197,465.379526
87.564962,300,472.273042
45.238352,155,476.028202
51.718028,209,480.998477
70.75462,300,488.15269
54.363254,209,493.11457
70.702093,233,498.536491
97.516748,235,503.991334
250.097544,300,511.156032
67.588042,236,516.653986
48.637534,300,523.552582
93.001057,223,528.805304
49.147155,163,532.78534
34.327545,300,539.624755
120.040819,300,546.39184
67.635479,205,551.234698
131.092147,300,558.098294
25.558658,228,563.374017
108.300676,242,568.939926
43.551753,153,572.841368
116.324302,300,579.911301
63.432334,182,584.269388
53.072188,284,590.881626
89.373712,248,596.68662
39.188075,189,601.003354
133.157093,275,607.312057
80.463714,214,612.440933
102.588831,251,618.212104
136.960046,300,625.113657
87.573215,218,630.102081
65.90523,205,635.138745
38.553349,300,642.024928
78.105411,222,647.15127
117.378146,300,654.047326
73.305871,198,658.676173
57.221626,128,661.926018
106.741131,216,666.978854
78.366427,261,672.852911
147.827459,300,679.898011
88.591566,223,685.113101
146.754129,300,692.141771
60.10355,218,697.326456
65.73017,144,700.616054
66.010145,197,705.467485
110.15648,208,710.659235
50.988739,178,714.346698
54.160404,210,716.164264
144.527476,300,718.553657
151.616366,300,720.932279
54.74311,232,722.815686
51.472027,145,726.555732
90.125905,251,732.986947
60.61741,159,736.829522
68.346649,210,741.866542
69.429925,231,747.175437
57.418633,210,752.32759
38.005976,287,758.864315
40.229356,147,762.477667
86.406206,199,767.289548
64.488681,204,772.129482
111.727616,300,779.01316
-62.242807,300,786.105093
64.434679,291,793.159294
128.222096,300,800.096794
66.064594,160,804.123021
78.570794,300,811.247609
76.010357,300,818.360542
82.116243,263,824.45047
65.107661,146,828.148697
125.535396,257,834.144524
53.085498,288,840.954671
90.345741,300,847.659556
71.601074,218,852.873813
60.653863,198,857.678915
69.282772,298,864.501664
103.811115,179,868.771566
50.673442,120,871.932936
82.12129,230,877.435565
66.693787,201,882.32117
92.210521,268,888.46549
64.445276,194,893.068943
73.469781,238,898.621843
100.796995,205,903.52831
140.663306,300,910.652863
82.167251,221,915.92462
92.042181,208,921.172453
65.317045,149,924.870948
75.071676,228,930.258396
67.434625,143,933.922417
67.672724,147,937.730719
6.054316,90,940.322607
45.294351,168,944.369291
142.58267,300,951.27837
137.006785,299,958.307069
85.702156,193,962.984485
124.124675,300,970.009127
123.83415,280,976.563854
54.770686,194,981.300834
69.45464,210,986.373275
35.606315,130,989.645584
79.801886,219,994.871402
102.604697,221,999.998538
147.45622,300,1007.034906
108.202062,300,1013.943504
42.354602,139,1017.31523
85.136859,229,1022.563144
48.546971,156,1026.455563
61.885241,137,1029.98287
73.932075,192,1034.541052
108.476203,300,1041.697977
78.660299,225,1047.158522
78.735637,215,1052.384487
89.230841,211,1057.594486
142.549893,249,1063.770641
100.61882,250,1070.147636
38.200149,141,1073.712206
3.455934,66,1075.595705
88.40941,225,1080.876541
89.929183,211,1084.652682
107.54994,240,1086.662587
89.579405,284,1089.118907
100.390637,241,1091.226658
67.56662,209,1093.130738
