#{"t_start": 1725894795.238545, "env_id": "None"}
r,l,t
159.931383,237,3.183002
116.945788,230,5.433333
148.422867,300,8.309099
155.670794,300,11.184805
180.438751,300,13.984373
182.040772,300,19.398154
322.103026,300,24.64489
399.427518,300,27.4372
189.988749,300,32.811521
122.152893,300,37.677537
216.532546,274,40.78571
90.738926,268,43.410213
108.298598,300,46.461192
66.771393,300,49.791773
72.439406,231,52.2012
63.413955,259,55.356496
49.650159,198,58.528152
98.337917,300,62.07881
109.35577,229,65.866215
45.017856,214,69.169487
72.745601,281,73.119582
131.253629,300,77.061941
104.642882,300,80.639439
93.416548,300,84.3738
113.391893,300,88.332552
71.275864,240,91.501961
99.88642,262,95.027685
125.127804,300,99.821512
89.0911,300,103.753916
104.815897,300,107.918113
76.138174,300,111.714498
129.328469,300,116.152331
129.013109,300,120.473736
89.963145,266,124.026899
119.247204,300,128.725343
67.142699,300,132.386413
111.177237,300,136.112196
63.929793,277,139.854412
106.276243,300,143.309031
130.348151,300,147.37552
57.282691,300,151.015212
123.835503,300,154.82901
95.87755,277,158.688185
37.330896,300,162.637036
239.752188,300,166.381881
179.105482,300,167.999969
96.417691,265,169.257452
180.990008,300,170.88855
186.315882,300,172.485641
73.061084,161,175.141836
53.995066,249,178.346383
68.871085,300,182.478895
68.522306,300,187.476868
55.445672,260,191.384172
63.924007,300,196.461281
106.102071,300,202.007992
137.582441,300,206.673341
192.929135,297,210.947125
113.800512,244,214.44206
57.244214,194,217.068329
117.167569,300,220.815517
112.00338,300,225.051508
60.520243,168,227.442167
61.192699,216,230.684299
69.664249,300,235.213909
17.487608,256,238.597041
111.388987,300,242.475239
81.422628,235,245.492121
51.113961,239,248.652416
58.174755,299,252.25131
112.888233,300,256.155638
-49.206648,250,259.400385
93.052338,279,262.822883
127.408063,300,266.728152
106.278125,300,270.741668
76.80916,279,274.078875
43.70987,166,276.231543
29.25005,300,280.097102
20.079053,211,283.730035
129.362654,280,287.971777
-0.933532,132,289.764118
-26.841182,259,293.992073
26.911241,300,299.601831
131.248109,300,305.097737
115.771614,278,309.719031
42.852336,300,315.340103
89.701108,237,320.863603
164.301947,300,322.424633
161.30544,269,324.099818
138.770392,272,325.494912
154.661303,300,327.448336
89.065067,300,333.372815
113.945813,300,338.323118
96.689325,295,343.603186
17.963236,300,348.163219
73.218712,276,352.753804
145.734178,300,357.799906
124.817957,268,362.826377
101.725958,300,368.582473
85.690083,191,373.25942
34.295027,300,378.375032
99.213582,300,383.871644
53.475225,179,387.377313
26.575377,300,392.467474
101.634128,299,397.530823
118.909659,300,402.55954
2.213798,300,407.884041
27.471999,241,412.757323
70.175298,167,416.391423
79.435284,297,422.740312
76.372138,182,426.089711
-11.726623,300,431.254613
43.769247,144,434.364748
121.294592,213,438.61006
57.736953,300,443.747767
58.565456,300,449.108297
84.324815,233,453.437115
60.661443,232,457.615947
74.431356,195,461.401202
45.248651,263,466.337944
137.35421,300,472.189117
98.373268,300,477.221659
151.615827,300,483.070271
105.920219,300,487.958073
57.471928,170,491.271209
127.111355,224,495.695126
27.291993,141,498.449484
25.290742,194,502.077618
56.458813,231,506.263856
135.386975,300,512.523578
115.148009,287,514.310694
180.09804,289,516.645734
114.928642,297,518.408366
142.29161,300,520.223938
81.457189,267,524.881586
96.647901,300,529.928875
51.073788,246,534.291385
73.653884,228,537.693096
116.875168,300,542.412142
91.65851,258,546.888193
111.273481,240,551.205374
45.8442,248,555.49346
102.734607,300,561.33574
102.706128,300,566.993651
122.412611,263,571.511775
53.367979,257,575.540776
130.721757,300,581.225848
21.708352,154,583.883225
27.813476,133,586.501506
95.05603,300,591.747245
58.484185,173,595.402191
94.09033,233,600.009431
72.494648,163,602.854151
78.852988,229,606.976685
114.107594,267,612.707825
113.400824,300,618.114524
50.03115,216,621.996444
13.422243,186,625.801918
34.612442,134,628.247222
103.72675,300,633.264493
82.395944,255,638.03544
60.853522,163,641.398245
76.303548,300,646.824913
57.041551,257,651.118465
51.800435,279,656.349212
97.666283,300,661.57976
78.521203,300,666.453093
20.342681,253,671.782881
64.774713,226,675.824593
100.583055,300,681.870801
38.231935,193,685.579068
86.836515,202,689.276355
29.65242,300,694.257385
48.892042,170,697.674525
59.227197,217,702.269933
35.210473,127,703.526401
39.266486,127,704.422707
58.24907,226,705.799638
132.239024,300,707.619612
115.488614,221,711.890993
74.114649,244,716.014296
74.958348,261,720.183084
25.248678,125,722.517932
74.45864,181,725.297894
40.761697,216,728.502792
31.497668,132,730.814323
13.503669,267,735.424931
30.096643,132,737.716666
123.629801,300,743.40421
45.941471,300,748.391681
60.912665,169,751.597293
56.843207,174,754.575696
121.499079,260,759.223676
114.54601,300,764.743924
73.487193,249,768.866957
106.29835,300,773.830509
74.238058,300,779.386384
80.391252,300,784.140557
70.386443,300,788.847518
125.963087,300,793.417376
55.060792,243,797.651648
105.531563,300,803.062554
128.118551,300,807.851431
-2.673318,266,812.275353
80.874303,196,815.46032
6.152122,224,819.110612
23.72632,122,821.487655
58.002376,170,824.579132
23.106258,173,827.540153
39.196675,138,830.358662
93.247371,290,835.628506
71.673317,167,838.715095
48.301029,148,841.348662
