#{"t_start": 1725852264.6669068, "env_id": "None"}
r,l,t
131.168534,300,3.355033
159.744642,300,6.136354
102.834521,300,8.918713
140.298401,300,11.698388
138.002594,300,21.473644
31.719868,256,24.547419
77.869704,300,27.862264
122.103753,300,31.208112
53.716319,262,34.587602
72.500291,300,38.209495
128.041196,300,41.882313
89.406854,294,45.327408
108.314603,300,48.520606
79.481695,300,51.75141
64.582583,164,53.706821
119.642431,269,56.735074
99.999974,256,59.639651
97.260854,227,62.192871
96.554601,300,65.424969
100.239831,272,68.598144
89.696269,300,71.847561
133.680062,300,75.294616
77.244049,250,79.147889
76.845704,262,84.420295
304.446124,300,91.489456
126.900171,300,98.778676
84.809891,300,105.215292
103.018874,300,111.351564
125.498638,300,117.870067
74.596673,217,122.989602
107.31206,300,129.878762
101.370315,271,136.130749
123.253056,300,142.921632
92.111551,238,148.558281
57.325371,300,155.525329
121.211832,300,162.20463
123.259436,300,169.079637
84.751696,300,176.045527
83.029793,298,182.982583
54.933104,239,188.433254
94.731189,246,194.369051
77.435593,241,199.928203
99.368229,273,206.571492
90.416999,300,213.596847
130.360517,297,220.87856
105.965472,300,227.857243
61.346625,300,234.959961
102.526141,300,242.161386
95.647929,300,249.171245
116.506918,300,256.310617
102.418163,297,263.365633
89.952695,300,270.138153
73.798545,274,276.699428
35.486797,300,283.398293
114.878688,300,290.471419
94.522865,249,296.449827
16.81621,133,299.933846
-15.498122,149,303.702052
72.503495,300,308.359152
88.429566,221,310.425901
111.696593,300,312.970703
75.825652,206,314.931223
102.791014,253,317.224546
45.05134,163,321.405348
56.470641,300,328.348336
8.144882,155,332.280883
56.003538,171,336.722609
26.69095,149,340.302115
21.713795,157,344.152317
0.366508,119,347.408375
46.206835,124,350.399714
86.837369,300,357.568475
32.393927,300,364.797896
-2.179124,92,367.545322
-5.116521,95,370.297031
60.649862,180,374.873593
46.126803,252,380.775764
100.676427,271,387.058298
79.444209,207,391.935339
-6.596769,126,395.350314
-8.893557,118,398.208567
101.87538,242,403.945938
128.2512,300,410.588988
103.748634,233,416.192172
-5.217612,98,418.717139
-7.476762,127,422.084697
90.274189,207,426.548059
-5.829507,104,429.155976
69.083123,171,433.208679
-0.212457,133,436.584183
115.979207,300,443.175555
-4.074556,134,446.789957
71.978477,261,452.73416
-9.134794,102,455.22496
65.325636,300,461.946702
109.894994,300,468.597267
108.576703,235,474.025679
87.772826,278,480.745198
74.082211,282,487.22497
103.519646,300,494.07889
63.138553,300,500.740747
83.080449,246,506.437831
89.98495,242,512.025548
101.766354,300,518.835519
80.190377,300,525.400341
54.762913,178,529.785544
118.083625,300,536.643403
97.155697,300,543.581089
71.181009,183,547.88698
54.150447,300,554.945228
86.655787,228,560.280158
142.425316,300,567.185441
118.558935,300,574.076367
108.265019,300,581.144096
75.598446,173,585.544951
137.329714,300,592.20983
131.975991,291,599.055816
106.52245,300,605.717432
106.552974,249,611.367118
59.899076,214,616.252852
105.144935,267,622.44807
132.726759,300,629.276885
111.749385,233,634.803338
76.251408,238,640.291404
101.319474,300,647.584674
124.273885,300,654.384342
98.355618,267,660.313736
91.665139,300,667.152558
119.859244,285,672.340404
116.17245,300,674.56483
113.585843,295,676.829768
87.832337,254,679.019538
76.226605,300,681.652302
50.422745,234,687.314815
15.806079,208,692.116331
150.628145,298,699.226765
98.844613,300,705.794531
141.635345,300,712.831082
12.345507,249,718.664656
31.388158,300,725.584789
38.983714,223,730.839829
46.163316,249,736.681598
13.085577,130,739.943364
48.757626,235,745.619552
130.597247,300,752.700987
22.739931,140,755.939002
61.191301,236,761.467808
58.320063,200,766.631507
105.429849,236,772.095421
50.064136,191,776.166938
61.424649,241,781.83836
47.82968,159,786.07659
56.564387,170,789.86139
51.20294,184,794.024279
26.119324,126,797.036609
56.002111,156,800.861517
54.269045,170,804.839684
55.851064,165,808.985994
53.778416,157,812.695865
56.320041,166,817.09958
104.444975,256,822.835043
59.690993,284,829.331154
58.716578,297,836.115203
53.018692,156,839.976768
61.571622,297,846.530238
79.485986,255,852.675615
85.67281,268,858.910691
61.220991,191,863.481985
95.520957,300,870.615023
114.206625,300,877.538404
67.963335,262,883.768673
-9.954321,204,888.787303
44.744614,231,894.249488
56.452871,155,898.085122
45.638823,300,904.743995
33.915351,300,911.495436
50.718673,180,916.014631
75.413807,209,921.015142
53.829259,157,924.697109
89.594287,283,931.571979
11.809573,138,934.888334
61.177699,190,939.684326
89.666649,238,945.399652
70.261981,200,950.191691
44.658975,268,956.5755
46.932223,173,960.689475
58.967152,179,964.97385
70.143084,193,969.494881
119.922552,263,975.717026
68.636904,232,981.271644
58.100258,191,986.060953
62.548701,177,990.666067
58.160259,184,995.044744
75.894616,181,999.504172
63.680368,175,1003.721048
26.722854,300,1010.426489
8.938558,209,1015.539851
135.628401,291,1022.122048
52.336856,169,1026.527866
28.30996,184,1031.061145
44.176909,145,1034.698163
122.654609,240,1039.592563
103.484871,229,1041.827439
66.421239,166,1043.529184
52.741536,140,1045.081019
99.711389,196,1046.878991
73.350228,249,1053.048456
-13.593501,189,1057.620452
53.160657,157,1061.788915
66.401234,266,1067.704232
74.303098,272,1074.129447
4.555002,145,1077.686809
55.525083,167,1082.2026
112.295566,289,1089.164995
26.186122,277,1095.485394
59.391914,172,1099.613528
41.181675,257,1105.50479
38.994183,300,1112.29736
36.005922,245,1118.193027
68.151852,180,1122.688808
58.388776,164,1127.120125
62.51509,192,1131.71869
42.193626,140,1135.149292
116.0342,300,1142.357942
99.665788,297,1149.300008
89.343776,221,1154.782147
77.211025,238,1160.22954
124.666298,260,1165.980315
84.879475,267,1171.997895
106.095807,300,1179.307594
93.367283,300,1186.715346
49.479338,166,1190.833367
69.092616,156,1194.559168
42.734301,170,1198.735817
69.514586,235,1204.504121
99.552854,247,1210.858912
116.735363,300,1218.041019
34.492368,190,1223.018744
19.719517,141,1226.680244
115.641447,300,1234.084831
76.899221,300,1241.090723
51.686862,176,1245.744165
30.47926,240,1251.740011
95.270248,300,1258.913551
-37.807131,291,1265.978459
41.404821,193,1270.966391
110.123849,300,1278.223325
84.499519,300,1285.480826
33.880031,144,1289.154773
74.232379,252,1295.595664
86.290723,260,1301.870619
30.341623,300,1308.859804
81.527032,192,1313.478485
107.506388,300,1320.233031
97.03095,300,1327.244256
72.7897,164,1331.153945
72.855461,186,1335.784528
-3.28692,125,1339.439334
102.525813,291,1346.431099
40.8293,140,1350.02295
8.412614,183,1354.523076
64.95525,179,1358.904998
91.196692,300,1365.954723
9.457942,290,1373.13788
64.895219,257,1379.485168
96.55823,230,1385.395966
33.567544,143,1389.179303
84.405812,300,1396.223248
25.980015,111,1399.481616
136.361244,259,1406.053188
24.193125,118,1413.631593
11.653461,72,1414.755419
63.401393,143,1416.2322
22.590912,117,1417.572349
27.174049,136,1419.058399
23.77226,217,1424.451754
65.404634,300,1431.779931
148.785949,300,1438.995229
45.961969,297,1445.869729
42.519523,157,1450.105245
79.184779,198,1455.0972
54.616742,179,1459.535169
107.225549,242,1465.347501
89.70666,236,1471.311288
33.64604,152,1475.128126
97.635769,299,1482.184961
15.248308,129,1485.334864
129.533883,300,1492.506439
11.687919,106,1495.368896
128.351644,300,1502.634636
54.796299,240,1508.813016
72.677055,285,1515.652091
-22.843946,175,1520.322328
-20.515671,152,1524.260696
152.827634,300,1531.577545
-42.082702,300,1538.178473
-22.756849,264,1544.081694
-12.72096,176,1548.41012
82.080825,300,1555.607658
17.815071,197,1560.518815
120.82143,278,1567.050123
34.356865,152,1570.907478
23.088882,221,1576.450188
85.907545,265,1583.109602
38.701013,283,1590.214476
57.353272,224,1595.663315
62.29524,169,1599.696742
116.018938,256,1606.132299
20.829266,202,1611.144354
33.669386,203,1616.387316
-29.755511,200,1621.211958
77.447295,246,1627.326254
43.284969,276,1633.788525
69.286417,251,1639.89648
10.61054,190,1644.750178
-8.196097,300,1651.581458
29.407507,225,1657.432422
137.612697,300,1664.863557
94.014254,205,1669.901333
79.38632,237,1675.580719
-21.730901,131,1678.972742
-20.502689,247,1684.853891
-22.272179,131,1688.369459
43.046814,160,1692.503073
107.959451,280,1699.35515
127.844634,257,1705.426365
59.786754,273,1712.098464
-10.37968,145,1715.906817
123.260169,300,1723.01775
67.770045,216,1728.153512
59.819881,150,1732.41422
-11.758072,164,1736.543504
-14.271674,253,1742.741246
108.580933,242,1748.413919
130.748798,300,1755.721367
-12.560245,178,1760.280197
68.569711,178,1765.066889
104.866441,300,1772.246564
74.538511,300,1779.269838
116.658605,279,1786.232274
99.616261,188,1789.359265
-13.6044,119,1790.772194
-18.320817,138,1792.274039
147.185985,300,1795.022163
99.813676,216,1796.941936
-10.710482,110,1799.821125
112.747565,233,1805.899819
102.687927,236,1811.554924
129.922065,300,1819.219109
102.591307,291,1826.192244
-21.880675,153,1830.217559
72.361257,243,1836.638589
-20.339554,136,1840.301623
-16.914702,117,1843.562229
70.300445,214,1848.647939
138.007979,300,1855.994815
117.827206,300,1863.46454
84.381911,272,1870.227877
-26.855328,246,1876.587491
109.390332,300,1884.280114
88.772579,258,1890.793537
71.12448,236,1896.531255
-10.12261,213,1901.73126
139.460057,300,1908.886477
127.7942,300,1916.101453
121.435451,300,1922.725694
49.127681,170,1926.893664
-18.58122,131,1930.123854
84.77028,236,1935.835236
44.276732,172,1940.300427
95.618986,295,1947.537892
112.630469,273,1954.476008
111.85384,300,1961.865893
58.02075,232,1967.600534
58.128889,274,1974.098156
90.681702,291,1981.410417
114.843958,250,1987.701891
106.718564,300,1995.135001
-24.100708,167,1999.260907
125.266266,300,2006.804971
-8.200788,137,2010.724457
125.265394,300,2018.101792
118.38481,300,2025.535358
-21.754702,165,2030.045582
84.484807,206,2034.938106
138.721957,299,2042.28972
-3.86986,153,2046.159312
112.830388,252,2052.551267
117.297653,300,2059.565223
-10.555393,118,2062.977082
132.123739,300,2070.343173
138.034616,300,2077.718744
99.199015,300,2085.065984
124.675034,300,2092.235366
92.379307,300,2099.642173
112.785059,293,2106.996993
122.544953,273,2113.688648
-1.012748,103,2116.658549
41.296402,261,2123.107615
89.343475,252,2129.482267
120.068369,300,2136.98949
34.227266,300,2144.20537
76.159772,300,2151.961936
-15.39737,102,2154.906418
56.888688,151,2159.222291
-7.227009,106,2162.000218
-16.6904,115,2165.475461
50.117528,163,2173.588668
-19.713308,168,2175.298351
-3.263515,300,2178.075929
-9.326872,112,2179.288223
120.533038,300,2182.119193
-17.245381,106,2184.887082
-13.758293,123,2188.129723
5.602268,124,2191.622807
27.255136,300,2199.094313
71.588769,300,2206.397977
128.148764,300,2214.011177
111.076085,300,2221.527422
64.654647,146,2225.486446
-3.163585,121,2228.464533
40.702514,230,2234.404682
38.54271,241,2240.121145
132.353607,300,2247.850302
17.295696,226,2253.518236
89.567589,300,2261.020119
-16.491073,134,2264.838146
-16.498985,246,2271.226363
64.069566,201,2276.285218
-0.816006,237,2282.443115
-9.757655,297,2289.78606
30.398165,153,2293.602024
111.337227,300,2301.000475
5.428492,118,2304.368618
-4.180671,116,2307.051344
-4.314007,108,2309.852149
65.133898,234,2315.144327
-6.865036,119,2318.5087
29.916661,247,2324.720165
16.445843,146,2328.52604
1.453955,156,2332.791688
-4.853613,277,2339.499121
-3.118141,113,2342.540383
-38.481101,271,2349.244012
-15.457656,120,2352.576758
36.547689,275,2359.388087
122.436837,287,2366.622797
9.499116,159,2371.067274
-8.745195,115,2374.414849
-3.603187,114,2377.433135
-7.783215,113,2380.655165
-2.799409,126,2384.222046
43.101233,148,2388.658715
-15.35433,129,2392.455956
39.718059,158,2396.721191
-10.687902,128,2399.993606
31.306999,160,2404.599562
89.568464,257,2410.835456
5.079823,136,2414.428687
24.574066,142,2418.675241
67.429596,191,2423.471056
9.238843,178,2428.223268
65.411646,300,2435.82586
45.617577,297,2443.308573
17.424056,300,2450.563709
87.801126,243,2456.871552
61.543912,251,2462.977326
72.121464,203,2468.110137
51.237607,265,2475.173026
28.835252,274,2482.011868
-5.872461,122,2485.368379
-28.695156,258,2491.829833
36.887434,300,2499.296563
1.920555,222,2505.384319
81.414506,300,2512.44581
27.579629,241,2518.934057
97.483611,300,2526.526221
31.955199,158,2530.924718
39.774792,218,2536.625632
83.38669,300,2544.300903
-41.985797,300,2551.626358
2.226469,300,2559.21604
81.735055,264,2565.951935
25.38878,215,2569.758561
101.913321,300,2572.602831
50.047473,287,2574.993306
101.64182,280,2577.536469
7.862372,222,2579.462479
90.324773,228,2585.477494
82.098838,244,2591.957008
25.790601,172,2596.451212
86.386286,300,2604.093128
82.104415,233,2609.990429
57.349329,300,2617.572146
14.068886,288,2624.7792
-20.635099,263,2631.463201
29.214353,212,2637.212893
10.538441,300,2644.373785
79.34332,300,2651.999064
80.393621,300,2659.627657
-7.476088,227,2665.582273
75.491914,262,2672.394182
45.98933,231,2678.050824
96.241257,215,2683.624854
-1.03896,119,2687.418951
30.985112,271,2694.086017
126.539253,300,2700.949194
15.360581,220,2706.301941
12.834869,300,2713.631033
12.430021,157,2717.903482
61.006858,300,2725.143512
44.536152,236,2731.147733
19.117839,140,2734.652366
90.12593,300,2742.185543
36.332992,244,2748.575925
30.341995,234,2754.589167
-0.685023,149,2758.418368
-1.891658,113,2761.835047
-1.922278,106,2764.528638
43.982588,300,2772.139355
56.438837,261,2778.924417
-2.241109,117,2782.024102
84.545359,300,2789.569365
102.706676,259,2796.461493
90.682455,290,2803.589679
55.156386,300,2810.777963
1.787773,122,2814.169528
-4.185543,123,2817.823707
41.709756,300,2825.349454
39.707434,300,2832.923167
26.192881,263,2839.252906
143.863665,300,2846.513192
95.093458,300,2853.82247
108.858826,268,2860.374679
39.898045,190,2865.713955
31.49451,166,2870.339661
-5.45743,231,2876.179658
68.585623,214,2881.790896
60.26668,230,2887.860529
-4.635045,300,2895.469566
46.076831,189,2900.417484
35.508882,138,2904.448028
57.194127,279,2911.234496
77.433151,231,2917.167415
99.408693,257,2923.776979
80.155608,249,2930.096795
3.380881,158,2934.104198
67.417556,300,2941.712347
100.321479,272,2948.714997
91.471782,300,2956.251873
42.436235,154,2963.622773
27.440633,93,2964.948763
28.213955,93,2966.086251
65.777674,166,2967.841812
-5.017164,106,2969.238714
10.909577,146,2973.040911
89.304768,241,2979.195157
79.200147,262,2985.861385
23.370743,218,2991.442701
-14.852103,292,2998.983548
-24.132753,300,3006.328054
-13.440938,226,3012.177786
84.749128,272,3019.106074
58.693802,300,3026.826998
24.995208,218,3032.034175
-5.211644,113,3035.443167
28.25124,247,3041.9211
40.527012,241,3047.796903
-7.688252,121,3051.170579
73.588625,224,3056.957487
125.02996,300,3064.409553
43.838221,300,3071.788107
198.367346,295,3079.305793
32.909221,300,3086.717718
47.370231,273,3093.660252
57.435765,300,3100.248085
99.523145,300,3107.801194
-34.422182,300,3115.386382
82.659782,300,3122.813095
126.07055,300,3130.020995
47.882684,217,3135.88703
99.122799,300,3143.684181
114.282481,300,3151.052592
91.691346,300,3158.79453
119.052319,300,3166.095279
52.459919,300,3173.919908
84.984351,300,3181.732077
54.232059,300,3189.274772
123.075628,300,3197.010641
97.460425,300,3204.400018
-4.263401,111,3207.851141
72.163304,300,3215.471545
116.096077,300,3222.850557
53.687457,300,3230.500278
112.119421,300,3238.15504
120.275622,300,3245.764214
-13.878505,110,3249.018499
75.921852,217,3254.774
102.180586,253,3261.127621
38.172177,266,3268.269681
95.132432,250,3274.721767
8.552322,264,3281.659784
110.451561,300,3289.160174
-0.429864,128,3292.658903
-51.403396,238,3298.779887
-29.009708,271,3305.805772
-9.759221,126,3308.927319
72.599673,244,3315.142113
6.93622,123,3318.796818
6.138176,136,3322.506169
85.913565,270,3329.026114
92.706608,300,3336.752941
105.703963,300,3344.618172
73.673281,226,3354.175602
77.967904,251,3356.766288
-11.05551,110,3358.224805
35.876161,277,3360.724874
72.123956,300,3363.529788
-18.210035,299,3371.259379
-52.72558,300,3378.848768
89.828294,225,3384.761372
-5.114063,110,3387.876522
39.748279,300,3395.287444
67.89199,300,3403.199329
-4.967311,102,3405.803912
-0.264875,103,3408.977112
-2.677115,103,3411.912136
102.75283,300,3419.455442
90.884157,282,3426.240868
-25.193962,284,3433.721566
-3.219219,100,3436.696855
-2.429358,96,3439.389662
-12.189417,112,3442.661796
-13.578082,105,3445.528399
65.476308,161,3449.776201
-7.261029,121,3453.507439
-12.615572,297,3460.916364
44.782119,300,3468.066531
-13.536733,260,3474.946416
85.732915,269,3481.891391
-42.256544,238,3488.301689
115.912874,300,3495.011578
100.17359,300,3502.488636
-4.261988,122,3505.997313
48.765096,300,3513.920413
104.065453,300,3521.647285
119.459074,300,3528.900613
109.878656,300,3536.65488
-6.100088,115,3539.773614
84.399513,222,3545.430357
32.030342,149,3549.400435
51.381141,300,3557.032958
103.4739,250,3563.374212
-8.166722,110,3566.31898
-10.204178,117,3569.880469
-14.96378,124,3573.450291
-2.925425,114,3577.078975
0.973922,119,3580.411015
-11.57655,300,3587.888493
-45.151201,300,3595.187211
82.417151,192,3600.718302
-8.989224,112,3603.750759
-2.936614,100,3606.97464
1.093384,125,3610.330069
47.179401,300,3618.098068
-11.339316,125,3621.480781
-58.662132,292,3629.019849
76.820292,227,3634.944725
31.793457,138,3638.783485
-7.70018,112,3641.994853
69.943788,203,3647.735323
-9.583657,145,3651.952667
-0.623539,94,3654.760655
-12.259637,120,3657.988255
4.460673,287,3665.244322
2.632933,121,3668.382916
-15.377556,116,3672.084491
-11.549075,300,3679.462671
-44.488772,286,3686.914372
87.555439,223,3692.598134
63.51134,286,3699.952883
14.58906,300,3707.679653
51.400982,300,3715.262857
37.915486,290,3722.509879
19.020918,233,3728.622638
93.973976,265,3735.70577
-0.324375,125,3739.035976
110.132544,300,3746.614645
50.21175,273,3753.622857
0.57521,67,3757.945897
-32.871231,257,3760.138674
-1.044856,115,3761.691749
66.130465,153,3763.226316
-11.388227,93,3764.363962
28.00306,300,3771.860109
23.681771,300,3779.338591
15.490498,220,3785.094827
60.276087,300,3792.471509
-15.673917,300,3799.964854
-16.998264,123,3803.505406
52.174423,300,3810.996516
-14.48935,111,3814.267122
28.210777,271,3820.950306
-2.315357,253,3827.503996
10.890966,296,3834.858541
-1.718126,102,3837.801997
50.501797,221,3843.769086
95.293868,300,3851.360674
-2.895654,102,3854.212302
50.066198,300,3861.795698
-39.546903,269,3868.46165
-18.659135,112,3871.983211
-1.565568,300,3880.006569
95.740207,300,3887.213644
-16.441245,102,3890.003485
151.084553,300,3896.887483
-6.525163,118,3900.518389
49.166378,300,3907.70549
-10.545939,109,3910.904745
73.127184,225,3916.789099
65.043275,160,3921.423324
-10.107806,108,3924.446598
80.329728,218,3930.055505
1.638422,300,3937.745772
48.220268,143,3941.690899
2.191307,109,3944.579932
43.277654,274,3951.692574
-15.379583,116,3954.910595
-7.413308,113,3958.26092
58.880408,238,3964.612665
7.556456,118,3967.812368
-3.075826,124,3971.164574
34.088691,225,3976.962298
31.411616,300,3984.472449
64.855436,150,3988.822171
40.101339,180,3993.812572
85.537571,284,4001.322617
-4.709859,106,4004.314996
-9.923087,103,4007.582432
69.529632,300,4015.416907
-5.40753,92,4017.996149
-4.07293,94,4020.932839
47.432131,249,4027.272403
1.951506,116,4030.526887
67.870957,269,4037.408561
30.071663,217,4042.897436
13.302094,198,4048.116303
0.333923,295,4055.557552
-10.324178,124,4059.264722
47.051018,236,4065.721893
-20.441128,223,4071.61859
-14.011258,110,4074.698884
53.096892,300,4082.264876
5.253066,147,4086.31315
-35.734659,300,4093.885978
-8.25017,118,4097.341694
-13.357793,118,4100.656703
52.455365,264,4107.581968
53.476821,170,4112.023319
-9.135268,106,4115.352488
87.728047,300,4122.893524
-19.77018,122,4126.394475
66.837112,269,4133.449107
131.657908,259,4140.303194
0.622714,123,4143.652001
24.518735,152,4148.045312
24.698856,231,4153.910688
-14.23506,100,4157.118377
81.985042,182,4161.676418
-11.264045,100,4163.031168
3.42137,116,4164.503869
59.748602,288,4167.231174
63.497968,266,4169.227804
85.164791,300,4177.03312
46.614461,300,4184.894928
-11.780406,113,4188.271317
40.626598,200,4193.197694
-22.622985,121,4196.857253
-14.60275,97,4199.818578
69.382421,236,4205.599169
-14.800868,109,4208.753158
120.77162,300,4216.727891
47.444758,163,4221.155898
-11.112909,112,4224.435418
-15.597494,114,4227.558728
-7.40405,114,4231.149573
