#{"t_start": 1725892123.9839127, "env_id": "None"}
r,l,t
-89.441991,134,4.736424
-664.174877,300,7.55243
-450.39049,261,9.864645
-106.482541,131,12.045372
-555.869871,300,14.878922
-607.994177,300,17.538523
-567.623534,300,20.193082
-605.468676,233,22.522656
-814.900532,274,26.076983
-545.052512,300,28.758323
-681.84893,300,31.528509
-642.093501,297,34.25983
-686.363785,300,37.234489
-558.198012,300,39.786332
-715.910803,290,42.509565
-758.144651,259,46.410944
-525.583837,288,49.796849
-524.770905,300,53.103843
-783.877722,290,58.056937
-764.996038,284,60.753747
-551.896524,300,63.470917
-689.681954,263,66.023983
-577.633315,300,69.783518
-669.750223,300,72.495056
-768.581266,300,75.078089
-564.72175,276,77.757412
-644.449032,259,80.434497
-590.138482,300,84.159758
-647.797711,300,89.642233
-487.17572,275,94.703553
-520.213529,293,98.792264
-932.759816,300,104.549503
-691.104735,286,107.307565
-770.75589,300,110.309309
-744.085668,300,114.433767
-814.425463,300,118.908597
-605.927343,300,123.892219
-778.713427,300,128.333375
-791.565336,300,131.372079
-857.534284,300,138.530204
-546.451572,288,141.280641
-816.842423,300,145.94433
-594.527599,300,149.494812
-118.851259,131,154.434193
-603.414718,300,161.687853
-535.986317,283,165.276041
-666.42531,287,169.335669
-692.700365,300,172.425338
-587.612621,300,175.556316
