#{"t_start": 1725821654.2868319, "env_id": "None"}
r,l,t
-238.394142,300,8.610933
-272.812752,300,17.201635
-208.2227,300,27.212315
-134.529688,300,35.210045
-137.354131,300,39.343922
-117.911289,300,43.707144
-115.317851,300,47.992096
-112.093169,300,52.165098
-247.011153,300,62.713628
-221.894541,300,72.430892
-263.783624,300,83.300304
-103.619041,300,91.354693
-103.950738,300,95.847997
-99.070814,300,100.160188
-95.038998,300,104.748783
-102.205179,300,108.599443
-240.010733,300,120.639143
-258.897181,300,143.689746
-253.780147,300,154.914771
-91.917638,300,168.520025
-97.942589,300,180.728466
-98.816891,300,186.123003
-101.644558,300,192.035947
-101.590828,300,197.56893
-235.357737,300,208.208754
-240.124628,300,220.085446
