#{"t_start": 1725911213.5230615, "env_id": "None"}
r,l,t
121.644178,300,5.391984
89.137443,233,8.832616
107.857535,300,13.423438
159.013113,300,18.253483
77.220646,300,21.971736
47.020223,279,25.543611
119.529921,298,29.258466
70.382705,244,32.279213
111.246714,300,36.018896
107.676383,300,39.630417
80.802273,277,43.216318
77.964053,254,46.924959
108.832389,288,50.575946
86.612754,283,54.277612
32.728047,148,56.336392
96.336381,300,60.194966
111.455409,300,64.332637
74.084404,255,67.665221
51.896454,188,70.187155
121.879119,300,74.083286
56.002286,261,77.71097
110.258397,300,81.835433
82.049552,300,85.983178
112.395753,299,90.223381
76.287934,300,94.324971
115.847341,300,98.353132
69.619644,284,102.248258
62.234809,229,105.394669
101.90705,300,109.416925
111.959938,300,113.748581
104.024402,300,117.606676
101.457334,270,121.079951
136.384163,300,125.412501
123.068455,300,129.516486
1.645827,179,132.230679
126.053915,273,136.106898
214.790829,300,138.979057
170.109473,300,140.414829
177.241418,300,141.663409
191.669729,300,143.231866
182.391155,300,144.739244
110.600265,267,148.475205
70.062564,300,152.967858
79.887828,300,157.126547
116.953985,300,161.076959
22.150316,265,164.907479
94.513685,300,168.967646
140.390556,300,173.364674
92.347181,296,177.518486
100.938507,300,181.830602
43.012988,140,183.932283
120.379722,300,187.773489
112.103635,300,192.012748
54.459,179,194.687864
139.165993,300,198.94126
31.083892,300,203.121972
89.901449,300,207.510589
160.129219,238,211.646449
115.630395,300,215.69454
117.583533,222,219.383213
32.586069,300,223.512551
27.540471,127,225.371825
86.752276,300,229.595875
29.377964,295,233.447805
48.288487,300,237.245845
173.020596,300,242.182675
85.169004,209,245.067952
107.932594,212,248.213038
76.008379,206,251.221395
123.05182,300,255.534289
194.196804,300,260.522882
132.96627,275,264.461442
160.289547,300,269.229881
59.103756,300,273.386598
116.010918,248,277.088793
64.724392,154,279.741063
51.445318,166,282.219013
58.067494,174,284.844285
79.921321,300,288.888285
127.950646,300,290.548837
116.851281,300,291.528965
100.027977,300,292.72046
36.939444,110,293.340329
18.60342,300,294.449395
27.444595,222,297.54037
84.52936,300,302.025112
87.996795,300,306.080037
41.746167,206,308.845002
98.84462,197,312.084509
38.167291,117,313.669596
176.287575,300,318.465277
147.109863,300,323.209283
121.664414,222,326.84451
161.285199,300,331.367724
87.928708,246,334.76743
91.583647,264,338.152769
35.895635,118,339.946088
91.578288,300,343.70659
70.610877,233,346.913094
79.691646,172,349.608601
102.487443,249,353.466863
120.937616,285,357.476121
23.681864,112,359.125157
99.914139,179,362.014656
43.700468,114,363.815971
21.243124,106,365.324623
31.789041,121,367.159087
134.917518,249,371.60774
78.787849,300,375.54726
156.577816,222,379.423559
58.986013,300,383.672342
57.103857,223,386.662062
42.448225,157,388.700298
37.458062,130,390.460034
57.707709,200,393.151976
28.571316,111,395.071884
47.820677,251,398.597548
35.300891,157,401.030695
39.87619,164,403.525314
33.033419,117,405.3859
36.093189,171,407.728355
100.182296,300,411.930225
91.200113,298,415.985285
41.864541,107,417.65089
27.562502,106,419.233182
133.613316,300,423.058529
97.772558,235,426.254889
55.784887,300,429.932703
17.519655,104,431.677516
60.733827,141,433.72684
-7.487783,87,435.131005
11.195507,121,437.028147
67.002603,281,440.821361
31.075509,237,441.705689
50.201745,133,442.417393
78.208962,228,443.39588
56.069388,300,444.553258
27.415316,117,446.291519
5.619104,190,448.855222
38.542056,296,452.81358
69.82218,232,456.108855
95.619508,300,460.066449
58.581334,249,463.395638
18.731047,71,464.599067
46.697956,296,468.554918
65.485394,255,471.971946
84.455638,217,474.898978
41.325954,200,477.850783
14.047776,155,480.143058
85.521552,215,483.183169
46.45948,155,485.482636
106.962876,300,489.586956
105.351276,258,492.765041
27.164119,97,494.342234
47.230052,160,496.622198
35.255278,116,498.427482
138.336872,300,502.595682
60.560653,197,505.25704
29.921931,115,507.262218
25.378093,97,508.755737
32.21205,96,510.265512
58.583903,280,514.158474
74.631133,222,517.502495
40.937414,280,521.436296
88.89355,236,524.74454
26.148439,83,526.289142
83.613978,206,529.234196
54.097173,139,531.389466
135.493493,300,536.153518
65.840112,205,538.812415
108.508401,256,542.220135
31.599212,123,543.777263
42.314285,150,545.793396
41.329299,122,547.767904
31.661685,149,549.847848
80.331161,300,553.655864
26.325945,127,555.530727
73.785251,275,559.344793
