#{"t_start": 1725915052.136613, "env_id": "None"}
r,l,t
122.504483,300,6.133018
87.107382,233,10.36068
111.146357,300,15.236211
149.896123,273,19.542245
118.43539,300,24.432373
61.106871,300,28.907073
97.314451,300,33.784257
129.288961,300,38.527098
109.388655,297,43.118639
55.296489,245,46.860156
61.143269,242,51.126031
53.457072,235,54.701349
135.338253,300,59.315304
68.020546,279,63.600444
120.748576,300,68.1587
53.016221,240,71.916538
94.170496,300,76.198107
73.29894,300,80.752693
73.558457,238,84.634415
56.201337,261,88.772288
93.061038,262,92.941838
70.100829,253,97.340064
31.740877,236,100.905489
102.805883,276,105.217815
96.280358,300,110.102159
89.152754,300,114.422246
90.852518,300,119.293966
104.24596,283,123.701411
66.48604,258,127.860884
97.263348,300,132.797664
96.540485,300,137.199402
87.12851,285,142.62723
91.327357,283,147.654616
72.370968,269,152.204789
97.130834,300,157.379361
116.894225,300,162.620025
111.735948,300,167.723115
107.850052,300,172.770802
76.572059,300,178.318142
44.021482,238,182.672054
57.558389,298,187.23047
103.727017,300,193.275485
71.902443,201,198.395415
70.071947,186,202.442622
77.567257,253,206.170763
100.233448,300,211.256436
184.921094,300,217.460809
133.709384,300,222.479194
98.643972,300,227.817978
73.866489,277,232.546817
111.539744,300,238.677912
75.032849,300,243.872323
127.207988,300,248.799724
124.393016,300,253.733379
259.414283,300,255.658994
85.021859,250,256.945122
75.744739,187,257.881559
83.721701,271,259.123052
19.785272,300,264.028377
94.899683,258,267.837255
49.336213,230,271.529508
76.611668,300,276.545317
90.356245,300,280.983066
95.730742,300,285.43705
69.576029,217,288.571179
101.509355,300,293.359846
159.804321,300,299.185397
80.586996,239,303.149617
59.793904,300,308.03796
90.797916,240,312.459194
29.794757,150,315.346008
93.597598,247,320.272338
28.907098,240,325.159416
104.292067,300,333.690618
103.042463,300,342.213929
79.818093,210,348.437399
77.761033,224,353.621644
78.427322,281,357.086892
112.234322,300,361.105356
117.773345,300,365.615148
40.669277,160,367.596541
107.952002,300,371.042096
116.586596,300,374.767648
70.948577,299,378.054682
155.985728,300,381.439289
70.642176,244,384.818003
89.438334,214,387.375152
104.160626,300,391.219738
66.170128,243,394.672083
45.465985,300,399.022541
69.959515,300,403.10916
23.945061,158,405.630698
90.118172,237,409.051582
32.56076,300,413.225993
38.820361,284,417.363135
36.471567,300,421.250803
35.057084,148,423.267454
-6.32084,141,425.430076
83.613401,270,429.076441
70.976861,207,431.651042
91.414215,186,434.184477
72.268429,300,437.678221
120.716931,300,441.842521
-11.285909,116,443.712777
144.397697,300,448.721708
63.04898,200,452.10634
40.355216,157,454.674217
103.407843,205,457.631105
82.518198,189,460.273177
87.247385,190,462.483652
106.510246,234,465.880039
114.412427,300,470.123958
124.959546,272,475.103186
66.781275,300,481.864224
70.97023,259,487.419315
108.454346,249,494.655784
98.920394,279,502.107372
92.891658,223,507.324765
85.65372,245,509.353713
92.326202,237,511.442368
40.886573,233,513.505809
82.246513,292,515.469458
78.178206,253,522.825624
58.679405,205,528.396768
120.429462,270,535.313857
113.44694,300,543.040177
87.460602,204,548.896882
87.154155,174,553.446784
162.186504,298,561.925786
184.612798,300,572.540696
26.725767,149,579.207971
53.960262,153,586.59863
65.516699,196,592.940621
87.288176,179,600.981182
81.055744,164,604.536481
70.261228,217,608.018391
77.57059,163,611.287744
38.910326,136,614.272993
57.37103,199,619.50449
97.723685,285,625.144397
103.427855,260,632.004848
62.135746,198,636.526227
72.203349,299,643.400166
272.362228,257,649.212374
106.295094,300,654.34572
105.589504,227,658.46918
150.719855,300,663.938992
81.917176,210,668.833723
97.924024,194,672.382185
-5.897689,85,674.311769
40.315034,300,680.123987
-8.57744,89,682.501804
-10.286716,108,685.228219
101.065003,245,689.844989
96.44184,217,694.886643
71.165373,230,700.01809
100.732586,287,706.177411
117.615805,259,711.970607
63.910911,189,716.6717
134.500517,300,727.844346
139.064553,300,737.508058
119.919002,300,747.437266
157.573677,300,757.618743
138.439752,291,766.305807
106.592546,252,774.788282
87.457806,272,783.062876
55.934966,300,793.404117
79.59952,199,799.458542
101.609504,262,804.229932
85.410405,226,809.552913
87.48288,200,813.419534
101.860331,264,817.115844
86.261225,290,821.896322
122.883892,300,827.181894
118.489739,262,831.521239
101.955053,273,835.478894
60.909588,156,838.083811
54.803604,139,840.467952
88.643443,241,843.791771
109.841424,300,847.408335
103.604131,265,850.724124
74.238918,207,853.394311
30.276169,130,855.317023
82.393295,227,858.210311
89.509212,208,860.730525
106.555035,300,864.36613
94.776292,244,867.223739
131.891427,300,868.460455
117.000553,300,869.692991
101.710662,275,870.98782
117.630196,300,872.125247
112.129672,300,876.16759
98.817722,207,878.742559
61.71732,207,881.157924
94.113295,300,884.77194
121.783239,275,888.012458
136.624171,300,891.763317
104.922226,277,894.976985
75.337795,158,897.029124
95.555553,221,899.572299
106.292348,256,902.416735
136.499297,300,905.941222
107.262241,300,909.480936
156.942235,291,913.486557
84.970304,238,916.452092
67.509208,260,919.562873
105.748988,217,922.460276
85.503768,181,924.768457
91.474718,287,928.13891
16.717812,210,930.771751
79.844841,220,933.531057
93.316682,243,936.680054
57.86851,209,939.330704
56.495981,300,942.957843
76.032995,223,945.719075
89.742516,300,949.345133
47.391794,300,953.086291
109.258861,300,956.847561
50.472319,300,960.478204
104.838468,300,964.143348
56.146145,242,967.130234
121.223323,300,970.712383
85.792232,194,973.184774
129.346652,259,976.386492
143.829442,300,979.934554
74.02383,228,982.869869
105.779276,225,985.817579
57.306151,236,988.591672
61.63174,139,990.579349
81.366352,300,994.143303
74.10568,201,996.694926
144.327428,272,1000.349258
63.150371,228,1003.280745
17.403868,268,1006.509857
41.724549,261,1009.624443
127.986517,300,1013.077524
212.396539,289,1017.047442
82.551493,300,1020.83563
85.758982,300,1024.49735
182.594873,293,1028.583485
99.383608,300,1032.211644
71.354453,155,1034.209616
75.497927,154,1036.23514
