#{"t_start": 1726015387.1272714, "env_id": "None"}
r,l,t
101.315402,300,4.988448
164.144264,300,8.75162
30.823194,300,12.223575
168.256307,300,15.33345
97.371565,300,18.109786
345.305791,300,19.933206
394.090143,300,21.622653
380.94113,300,23.156831
386.080665,300,24.951715
382.669456,300,26.738299
103.312203,300,29.961786
16.004107,300,33.089399
114.608754,300,36.26823
175.931589,300,39.519516
27.376799,300,42.609826
369.802186,300,44.091613
235.649922,215,45.155926
233.169,290,46.555206
289.977657,300,48.066035
248.354668,235,49.601492
25.665109,300,53.653136
64.552475,216,56.107499
186.945558,300,59.931115
188.555532,300,63.292794
81.774673,158,65.216238
-95.228307,130,66.781866
-262.61783,300,69.189532
307.533499,300,70.726588
-116.914173,157,71.539478
102.202807,223,72.244992
-70.564587,118,73.16313
74.271225,300,76.550421
121.06392,195,78.438689
-238.100613,285,81.87288
283.159575,300,86.053873
345.453597,300,90.061599
300.042571,300,93.027538
301.455186,300,94.108873
282.701182,300,95.105973
264.220247,274,96.299915
299.628,300,97.315542
223.029537,258,100.97821
110.954583,199,103.251678
297.151122,300,106.344914
247.212776,300,110.061274
-1.178927,213,112.424945
186.997254,300,115.544995
224.160539,300,116.512563
247.283322,300,117.549018
108.3624,300,118.356749
114.542567,300,119.157765
222.004298,300,122.359633
156.309108,300,126.169889
211.820951,300,130.003149
63.659603,129,131.484406
-120.31394,167,133.254039
141.327124,218,135.090119
-62.631278,91,136.360081
11.232798,180,136.956224
109.947484,300,137.791538
-75.171633,91,138.215465
49.522896,166,138.797759
121.840114,300,141.204586
63.18046,211,143.447131
14.373865,253,146.198699
47.684183,138,147.857319
-72.7814,300,150.792022
188.669298,289,155.210453
156.421691,300,156.126635
177.575235,300,157.124612
72.655166,234,158.171314
262.58052,300,159.209806
254.301723,300,162.125987
164.224618,213,164.320173
209.544194,216,166.776802
5.520528,160,168.561002
176.831557,300,172.845066
199.464541,223,175.958335
64.718226,160,177.771032
144.162586,300,178.840563
103.542057,300,179.847983
190.111953,300,181.048852
56.049918,242,182.013304
