#{"t_start": 1725804911.933409, "env_id": "None"}
r,l,t
-174.769563,300,3.413091
-116.046167,300,6.204198
-105.567728,300,8.989999
-111.430254,300,11.786675
-259.173787,300,21.294677
-214.200854,300,24.232914
-218.827436,300,27.249578
-16.184399,300,29.440483
-33.568467,300,30.418612
35.261616,300,31.343263
-5.804395,300,32.314507
-17.305559,300,33.238524
-265.193819,300,36.172048
-257.270316,300,39.127564
-177.397723,281,42.078895
-130.12534,300,44.700603
-29.864326,300,45.660134
-1.354282,300,46.647835
9.737251,300,47.662868
3.255973,300,48.573881
-244.795688,300,51.485718
-217.956135,300,54.426753
-227.05815,300,57.777637
-6.141118,300,60.11181
-6.335849,300,61.121315
-11.210941,300,62.018909
-101.170603,300,62.894537
-66.261024,300,63.779928
-249.344812,300,66.568481
-258.733265,300,69.309156
-266.307353,300,72.053232
-89.433334,300,74.134627
-94.847854,300,75.011729
-94.637231,300,75.898602
-89.755224,300,76.774642
-89.71626,300,77.670904
-236.76053,300,80.693268
-232.067203,300,83.492655
-256.204541,300,86.307215
-160.446174,300,88.425757
-146.50738,300,89.335591
-145.209505,300,90.296176
-159.793184,300,91.217235
-160.639499,300,92.106256
-205.771936,300,95.103247
-246.213311,300,98.073278
-186.751081,300,101.149664
-192.081404,300,103.431076
-191.51879,300,104.387799
-176.369306,300,105.405025
-187.401905,300,106.432248
-129.778812,300,107.490714
-260.490294,300,110.637884
-262.923197,300,113.757491
-249.874994,300,116.894404
-122.882233,253,118.956762
-130.017639,300,119.990103
-182.847309,300,120.892947
-197.526152,300,121.771147
-197.386632,300,122.631215
-226.766972,300,125.515186
-256.446766,300,128.554437
-256.804175,300,131.469779
-205.004705,300,133.459253
-247.936983,300,134.395971
-247.056581,300,135.36962
-212.754967,300,136.319714
-184.901838,300,137.286265
-249.73561,300,140.318331
-277.461683,300,143.317765
-264.528867,300,146.09178
-213.724133,300,148.088519
-214.287238,300,148.993156
-224.728345,300,149.909721
-215.583573,300,150.793107
-219.40965,300,151.764593
-210.735631,300,154.745546
-247.143893,300,157.677768
-234.484091,300,160.570122
-246.647373,300,162.664041
-246.599099,300,163.561392
-246.814611,300,164.515391
-244.703687,300,165.405563
-245.864563,300,166.361112
-238.447233,300,169.351173
-261.993161,300,172.093467
-273.40986,300,174.740209
-264.379213,300,176.802391
-256.074805,300,177.673826
-264.592673,300,178.644383
-271.47641,300,179.546194
-278.009857,300,180.468953
-261.550142,300,183.487012
-270.159091,300,186.099053
-241.972538,300,188.806094
-168.596555,175,190.584611
-274.789086,300,191.476694
-276.46019,300,192.524166
-279.925196,300,193.597813
-273.557245,300,194.574385
-216.579698,300,197.733344
-253.515273,300,200.814139
-276.09281,300,203.687023
-287.434943,300,205.852159
-177.47512,188,206.596291
-280.122546,300,207.510809
-288.375572,300,208.459374
-284.625378,300,209.328369
-186.917151,228,211.500522
-244.404721,300,214.356366
-277.93723,300,217.140149
-296.16597,300,220.005644
-294.45779,300,220.911813
-294.696412,300,221.852446
-292.936631,300,222.762728
-295.880422,300,223.70234
-249.867816,300,226.68645
-289.357194,300,229.327716
-289.787198,300,232.092115
-285.292592,300,234.226127
-263.666723,300,235.105903
-182.204633,196,235.803257
-209.13236,218,236.630945
-266.760231,300,237.51208
-255.604984,300,240.648126
-234.684216,300,243.725515
-269.008383,300,246.606947
-198.280811,217,248.577507
-264.643377,300,249.444011
-264.085888,300,250.365002
-169.902783,200,251.102501
-198.3525,218,251.84358
-283.651455,300,254.483288
-243.249223,280,257.046128
-249.208342,300,259.962271
-267.923547,300,262.24441
-131.535542,148,262.968544
-258.740727,300,264.099492
-133.71703,147,264.784908
-272.118782,300,265.747082
-268.013591,300,268.904004
-246.846575,300,271.893666
-271.701175,300,274.792103
-279.377534,300,276.928061
-286.119089,300,277.952314
-154.532865,172,278.682477
-156.594542,173,279.37863
-279.066293,300,280.288777
-264.487658,300,283.261952
-221.168699,230,285.916857
-244.494404,300,289.108163
-282.482541,300,291.850081
-275.060617,289,292.972876
-252.881468,300,293.930286
-282.986834,300,294.854067
-276.632013,300,295.89238
-261.488656,300,299.06106
-234.371332,300,302.299296
-257.658904,300,305.265991
-275.361586,300,307.325834
-285.208364,300,308.194128
-264.380565,274,308.980006
-268.836109,284,309.766107
-293.40946,300,310.68904
-263.982944,300,313.785026
-264.35459,300,316.76136
-231.85416,300,319.785562
-255.82662,276,321.788391
