#{"t_start": 1725985837.6512585, "env_id": "None"}
r,l,t
40.085142,300,10.866432
-12.584143,300,13.689426
-23.420717,300,27.334953
18.633899,300,31.875083
88.902771,300,36.711843
51.379668,300,41.629712
77.358069,219,45.359784
-47.298075,300,48.895967
-164.042151,300,50.911084
-70.183116,300,53.124684
-108.538898,300,55.260378
-141.379187,300,57.392939
42.36973,207,60.857724
-183.564532,295,65.751308
56.707667,300,70.527501
-3.064766,300,75.713748
-126.070731,291,80.686577
-106.521568,300,84.860094
-51.263522,300,86.797508
42.490534,300,88.852781
-95.86449,300,90.791083
-97.324725,300,92.7516
-72.71052,300,97.675235
-48.662761,178,100.789708
-105.92426,300,105.534888
-145.593129,300,110.92859
-0.638977,300,115.808767
32.489531,251,119.841501
-95.881666,235,121.472836
93.182686,300,123.542104
-60.583417,261,125.477813
9.853915,245,127.159508
-152.580035,266,131.788143
-168.291244,300,136.683758
25.043081,182,139.743868
-18.195392,300,144.594738
61.687017,300,149.649143
-5.324859,300,154.04246
-76.73032,300,155.998163
-72.903205,300,157.867568
-62.40843,300,159.780016
-94.644177,300,161.752032
-229.079687,289,166.486545
-159.452426,290,171.160886
-89.928732,193,174.511017
13.037347,300,178.982033
152.615344,300,183.508857
-29.393409,300,187.784783
-2.320626,300,189.807013
-26.28984,287,191.748155
-207.2177,234,193.325399
-37.464043,267,195.094839
149.41551,300,200.224098
-124.05808,300,205.218261
-117.165728,227,209.025041
-23.110616,300,213.990719
24.565395,270,218.583751
1.039549,300,222.628681
-106.155142,233,224.351443
1.82012,300,226.469619
-4.648293,300,228.302347
9.855357,300,230.127838
13.311993,190,233.419945
-26.804511,300,238.334321
-227.363657,300,243.557616
-35.423199,264,247.887026
-162.590061,266,252.086082
-57.218409,272,256.810263
-77.097429,282,258.608765
-61.446556,300,260.554258
-71.849921,251,262.286925
-186.307232,300,264.04217
-49.091368,300,269.145458
-43.364325,132,271.648712
-51.260671,140,274.320805
-20.540725,300,279.354542
122.412896,289,284.158058
24.20201,168,287.14272
-40.814785,169,289.99033
-103.28627,300,292.634731
-202.931732,300,294.636059
-114.991662,261,296.518874
-73.870251,122,297.625571
-143.266167,300,299.466867
