#{"t_start": 1726226591.3205345, "env_id": "None"}
r,l,t
-10.411058,185,18.807026
35.091418,185,21.913061
-73.155202,263,27.757913
28.64564,201,32.128447
-19.748662,178,36.276463
-72.330496,136,39.371818
-75.817282,300,45.932055
111.785111,171,48.594438
116.710321,181,49.834153
135.810906,201,51.175191
-57.87892,300,52.903142
107.793003,159,54.103034
96.648146,290,60.49274
-76.876545,300,66.174978
118.467699,300,71.924674
-134.260416,300,77.88851
286.458147,300,83.993446
-409.296865,300,86.269551
296.874177,300,87.786064
-468.568001,300,89.361782
238.497209,300,90.879105
229.081042,282,92.32605
57.851572,234,97.187361
-113.953295,187,100.715032
-226.642398,196,104.014355
-220.896894,199,107.597545
-15.208983,182,111.139179
-336.823007,189,114.837816
-2.152533,267,119.022861
97.893679,300,121.394648
212.760185,300,122.679104
97.112042,160,123.584715
93.145388,190,124.721861
275.12888,300,126.251259
291.560954,300,131.604751
-54.141311,264,136.029088
-47.232919,300,141.099365
185.984998,232,145.274027
-59.245961,300,150.594441
51.550251,300,154.274232
12.274646,103,155.037781
64.336519,300,156.547972
151.557527,242,157.954352
168.294485,300,159.666114
-23.436797,300,165.488238
126.338608,300,170.948755
81.347548,147,173.50963
69.179624,156,176.71173
190.003895,300,182.341143
147.897164,161,185.452263
-1.236697,130,188.913034
4.264524,131,189.753588
-25.507651,75,190.469216
-24.169759,67,191.13267
-27.093033,123,191.989549
228.333707,300,197.148944
-86.932515,189,200.262723
-202.202542,300,205.120102
-30.072239,271,209.507478
-83.051223,160,212.566025
82.119106,163,215.666707
283.633671,300,219.555647
209.019267,300,221.205825
59.893258,226,222.387694
250.259942,237,223.668326
325.554589,300,225.109188
117.596409,192,228.639312
156.887194,300,234.054708
-425.782224,299,239.517812
-201.993271,260,243.716116
-65.115095,129,246.247003
4.436875,240,250.466828
70.640282,242,253.32755
-61.486303,96,254.059951
-92.784175,90,254.812424
330.071876,300,256.380723
-93.947184,86,257.142613
-50.108719,90,259.029236
-87.960154,99,261.168759
-50.315453,221,265.232619
277.304959,300,270.569232
160.324278,300,275.530848
197.463965,230,279.831986
99.351114,140,282.594283
-74.864099,111,284.955091
132.447466,278,286.895378
224.112835,216,288.096644
-196.939233,300,289.528673
-64.883023,300,290.956511
119.270733,272,292.401799
-76.780711,160,295.632929
200.915358,300,300.487824
49.482142,184,303.843663
277.5248,300,308.863565
133.167333,300,314.191672
108.372871,227,317.897972
98.320597,226,320.284693
21.746726,119,321.200134
21.119743,121,322.052126
20.020228,127,322.905938
192.802766,261,324.320294
202.860435,262,329.956005
15.50675,88,331.710235
160.370446,223,335.6316
170.130255,205,339.341237
132.599879,251,343.763519
104.993658,215,347.586557
29.420365,166,350.753787
18.90299,300,354.149175
75.846347,219,355.335036
56.943154,138,356.345909
87.17034,191,357.529425
152.239757,248,358.834612
273.271498,300,364.06055
9.153949,176,367.220191
-27.088221,202,370.736102
76.147434,248,375.254671
221.860916,286,379.98678
-62.744404,162,383.21038
26.135933,99,385.256904
260.116442,300,387.599758
138.226591,201,388.706074
59.532629,240,389.986471
339.894681,300,391.525451
70.005011,221,392.680195
-68.567014,285,397.723237
-74.339398,177,400.755528
107.940325,300,405.908567
56.209964,190,409.104262
-82.976718,186,411.890915
139.268909,197,415.287354
11.467022,142,417.988142
-32.000056,223,419.995957
-75.147535,177,421.049444
75.391056,169,422.068059
-102.725957,300,423.537111
-59.081124,144,424.456292
-12.602648,300,429.400386
5.635314,134,431.91943
1.972422,232,435.972636
-64.086346,184,439.099537
19.272816,115,440.953175
227.09585,245,444.846097
22.679218,99,446.957397
39.992277,134,451.428449
68.215335,198,452.538738
50.757103,138,453.402755
100.726627,144,454.42049
24.202926,138,455.378769
65.117465,153,458.406914
29.703576,149,461.429291
50.206384,152,464.427251
52.958162,150,467.293115
-19.625692,169,470.176728
22.482548,133,472.604626
-102.944758,174,476.046432
82.374973,155,479.470579
-24.878558,133,482.131613
73.297603,165,485.808209
130.240901,218,487.113344
162.078008,223,488.274664
5.834052,172,489.204316
82.304327,271,490.620554
8.284818,174,493.777594
25.497085,173,497.306997
41.181519,137,499.804837
19.094541,153,502.483377
178.608464,235,506.295395
-47.401375,169,509.123056
-157.534666,300,514.135227
26.177785,127,516.596395
39.275212,120,518.504825
162.721219,300,519.885648
65.494394,230,521.181811
39.819519,119,521.983346
51.296131,134,522.905555
50.608175,166,526.007782
-10.208032,171,528.929574
-5.40878,181,531.732818
110.148295,164,534.66173
53.815911,210,538.753298
114.782334,239,542.843202
98.569312,184,546.286766
-28.197802,172,549.492241
-7.110261,103,550.90586
39.257715,112,551.671695
39.054872,116,552.458946
71.752551,156,553.426388
16.65144,198,554.527124
74.070064,192,558.607022
-12.556709,205,562.531103
-11.942304,155,565.242923
35.241771,199,568.877965
14.307092,126,571.404065
-70.07854,176,574.747114
10.789954,129,577.322535
100.571102,286,582.715476
93.349788,245,585.044898
236.194743,265,586.360126
77.162612,224,587.60357
70.765286,226,588.720489
-19.939522,244,589.987742
63.935416,169,593.311268
80.385049,154,596.810258
-16.217526,179,601.514287
34.213763,181,606.383879
22.02187,174,611.152085
-35.130803,171,615.049059
28.982873,146,618.54613
74.477411,160,621.764789
-26.07548,243,626.39981
57.389205,132,627.340682
4.644858,91,628.170767
61.942848,135,629.050208
-14.572377,136,630.033878
64.66746,205,634.162006
90.111066,236,638.205243
23.106854,136,641.140449
-37.59153,160,644.727216
85.606671,179,649.677716
99.970593,263,656.209453
65.659233,143,659.780902
-66.827761,171,663.418489
21.00264,192,664.967468
166.237437,253,666.156318
-8.611332,66,666.779104
49.921474,274,668.050976
-9.591163,66,668.688649
123.919342,300,673.678052
232.091092,300,678.127866
98.982115,167,681.03449
-26.165602,300,686.025666
192.702936,300,690.734037
-24.387892,174,694.18087
229.349262,300,695.636952
1.346639,203,696.736686
309.559155,300,698.194184
191.377389,300,699.642237
-13.359066,185,703.081008
-57.370956,170,705.746806
49.988098,141,708.156956
220.379653,300,713.586107
37.302518,269,718.276262
110.749336,229,722.149775
8.422406,176,725.39211
-12.424156,161,727.31805
36.279684,121,728.084104
91.716001,190,729.114252
-21.969296,100,729.888165
-1.438206,129,730.880827
53.379596,179,734.191362
-111.557583,296,738.951805
23.677624,212,742.752433
-16.896417,166,746.237634
38.637881,111,748.642668
91.024573,156,751.614464
136.125515,293,757.007547
100.30666,145,759.880766
42.011642,131,760.784839
47.713318,130,761.657397
26.442708,125,762.515505
-10.176841,130,763.43398
-45.922196,180,766.745052
-32.451554,160,769.986037
66.902757,294,774.64174
91.992646,165,778.137294
91.541044,251,782.732383
-19.189292,176,786.120272
109.257008,300,794.768162
48.836195,151,796.14023
114.85142,260,798.104663
248.313695,300,800.037482
16.572294,153,801.771159
65.756086,207,806.657568
21.471196,155,810.511264
109.738233,242,814.301137
-100.072032,272,818.695952
39.77866,192,822.19056
-103.585033,169,825.101667
41.238313,129,827.283305
5.483994,100,830.342292
-53.904977,228,831.514299
18.446284,225,832.668455
68.796872,254,833.894271
69.630424,260,835.044288
73.279416,175,838.096522
-82.08551,218,841.573443
99.523808,161,844.389385
98.961101,173,847.285748
249.138853,300,852.379761
70.954948,152,855.048125
147.314849,300,859.679175
61.823891,142,861.323705
137.828522,161,862.417008
-57.122783,300,863.694773
58.602398,183,864.779641
191.035587,300,866.154591
125.874513,300,870.970564
1.285281,168,874.100658
12.918256,218,877.866395
198.900453,300,883.436364
188.31158,300,888.993821
60.490429,300,893.854979
142.003126,300,895.480345
63.960965,129,896.430466
82.078871,209,897.937816
115.362743,194,899.073782
78.055086,151,902.83238
45.084656,127,905.874498
1.965149,132,909.598647
96.230084,171,914.033323
-41.455024,171,919.046155
162.840722,300,924.422533
10.410834,143,927.349146
16.472414,77,928.984014
16.743867,237,934.737244
179.59997,300,936.484497
-65.210836,212,937.803278
-226.966069,300,939.910832
105.952674,231,941.513753
67.13313,161,945.692509
1.157938,265,953.104151
54.441503,300,959.77417
-74.307291,176,963.086632
-18.563203,127,965.770257
87.223141,194,969.50069
42.659939,268,975.096977
-0.289732,260,977.132269
62.470172,128,978.136949
33.547474,203,980.126292
158.654434,300,981.73185
-53.698948,267,984.10658
-19.555445,214,989.901364
151.987514,296,997.836727
26.520485,194,1001.295376
168.27351,296,1006.822984
-12.38151,247,1011.783684
112.994604,210,1017.169479
134.009156,209,1018.327069
13.6835,300,1019.755445
194.694894,300,1021.242672
5.393989,300,1022.721573
170.345828,300,1029.518015
43.278594,158,1034.061621
206.308527,240,1040.643612
63.371571,146,1044.710519
87.20289,149,1049.088643
-18.17137,184,1053.084531
222.462203,300,1058.265889
193.773989,224,1060.195396
-25.97488,160,1061.229756
73.400704,117,1062.088226
22.84475,300,1063.691705
-63.204852,253,1065.10287
175.045264,300,1070.422834
4.311379,179,1073.803322
158.401266,300,1079.453082
-48.521304,278,1084.642418
233.786778,300,1090.322586
-229.087525,165,1094.841165
114.946839,231,1096.782666
-234.183857,164,1097.831395
100.31701,243,1099.831159
-148.904906,184,1101.242726
2.412959,139,1105.102233
106.590281,300,1112.898995
12.379919,136,1115.456668
204.781676,300,1120.718546
52.13437,174,1124.17316
84.850004,300,1129.239167
8.470252,125,1131.961933
262.824192,300,1134.236431
-28.204031,143,1135.156428
36.759658,249,1136.435748
37.131937,300,1137.862153
111.776488,300,1139.316899
6.579597,300,1145.113404
21.610723,169,1148.330665
32.592253,126,1150.652187
18.475113,139,1153.586101
24.583597,169,1157.269765
23.656148,123,1159.936826
215.105092,269,1164.42767
71.07267,163,1167.434541
16.031352,223,1169.826929
95.27002,300,1171.24254
133.227641,271,1172.673212
-22.620817,140,1173.601176
-39.799194,248,1174.9852
70.643455,156,1178.224364
3.348686,126,1181.464333
40.214707,157,1185.462857
-76.54274,211,1190.777044
46.958954,180,1195.476806
60.377782,226,1201.766199
36.473875,168,1205.256434
48.971184,136,1207.552739
35.135645,154,1210.746322
33.981604,148,1211.697654
23.150311,131,1212.562721
36.404718,122,1213.376057
-1.060363,194,1214.356779
101.175983,178,1217.675016
247.575837,300,1222.594044
109.575752,201,1226.024169
175.323458,264,1230.87011
-337.729598,291,1235.609705
332.957752,300,1241.608747
1.305518,109,1242.515874
0.486216,113,1243.351059
78.596291,193,1244.385439
-85.649486,153,1245.38538
297.278402,300,1250.84921
179.166433,226,1255.143955
-72.402098,300,1261.791453
208.397695,300,1269.552675
0.917349,132,1273.446236
-50.307775,209,1279.239447
10.143105,118,1281.091072
14.343025,124,1281.922939
-45.308417,111,1282.705438
-7.254072,71,1283.384034
244.524818,287,1284.810305
254.948039,280,1289.852297
68.868853,181,1293.205864
101.238765,225,1296.924174
114.66243,229,1300.278473
363.706205,300,1305.642597
112.553101,207,1309.483454
-8.033396,49,1311.552436
157.573875,300,1312.996668
90.111587,209,1314.241244
17.341571,153,1315.266789
18.892343,84,1315.982287
-40.429759,190,1319.436965
84.230706,247,1324.04048
208.463985,300,1329.524848
41.342289,145,1331.915096
189.366312,300,1337.129666
53.832147,142,1340.256477
79.784432,149,1344.555665
-38.912821,253,1347.405346
112.150329,206,1349.239277
-99.926044,300,1350.980111
-132.143258,300,1353.424408
-158.80544,291,1355.020315
-1.561322,130,1358.797882
44.786342,149,1363.090214
130.392336,300,1368.246136
189.331574,300,1372.997069
66.169179,185,1375.986702
254.435525,300,1381.665769
24.909315,137,1385.413942
-2.771876,238,1386.589818
158.723381,236,1387.794538
-125.31103,300,1389.080619
262.006193,300,1390.444522
-81.830446,292,1395.267937
97.296601,300,1400.336881
190.328491,300,1404.715758
47.021652,126,1406.972795
152.501083,300,1412.218389
65.372329,177,1415.436997
-37.707656,216,1417.037223
76.998426,153,1417.975764
57.808763,212,1419.064012
-38.358942,74,1419.743784
35.432149,183,1420.683437
-67.786446,168,1423.413082
20.209305,157,1426.108477
19.152519,151,1428.87414
58.495359,159,1431.348102
139.000454,238,1434.884146
104.500556,262,1439.197449
-33.345601,199,1442.684889
184.961607,300,1447.239277
39.021845,171,1448.239408
13.279015,162,1449.218104
160.180508,251,1450.461929
-64.119719,87,1451.139634
219.362121,300,1456.033125
245.934625,300,1460.996231
20.240909,271,1464.986485
116.334107,300,1469.695782
145.38621,204,1473.270206
45.950958,300,1477.364067
107.372271,253,1478.757129
36.396212,296,1480.107989
55.784361,287,1481.352514
14.76155,235,1482.50856
74.640691,163,1485.244894
15.439755,141,1487.955565
95.249934,174,1490.76146
-33.812331,241,1494.271403
229.682534,300,1498.4815
195.55497,300,1503.629993
76.681907,157,1506.517303
132.363219,232,1508.570837
70.987582,166,1509.541955
-25.464742,206,1510.712646
21.059576,122,1511.536934
27.202122,118,1512.294501
95.09872,170,1515.250569
-18.369468,75,1516.919031
72.573544,178,1520.12275
-17.683062,300,1524.872653
67.020791,187,1527.887278
36.849192,148,1530.675216
220.146238,300,1536.173365
244.632487,300,1540.295611
204.57939,246,1541.570339
103.319308,177,1542.572615
60.665922,144,1543.67082
-60.623327,247,1544.931887
118.88847,145,1548.664078
109.215648,300,1556.683101
135.841876,300,1565.338909
130.501773,187,1571.131825
-203.990515,300,1579.966271
0.413984,162,1584.140227
-11.737352,61,1587.419666
20.414491,167,1588.554082
201.999621,300,1590.186268
86.800433,200,1591.23352
-9.768387,70,1591.906698
-2.24319,161,1594.81625
-35.385603,189,1598.800277
-92.561341,300,1603.827547
-19.423391,254,1608.870721
176.108084,248,1613.753294
3.473074,126,1616.462376
-10.194594,300,1622.342073
55.139028,133,1623.327383
52.843698,143,1624.297163
162.828284,286,1626.024032
-40.715211,228,1627.339587
43.386943,170,1630.505732
32.929202,150,1633.951946
66.973686,232,1638.015831
237.556253,284,1642.386095
98.679358,180,1645.683415
25.778404,276,1650.631945
226.44384,251,1655.990516
32.429635,112,1656.904317
234.894856,252,1658.198292
318.405755,300,1659.625681
-30.92314,119,1660.457931
-44.912445,178,1663.563499
75.462302,200,1667.028951
-20.835172,165,1669.696558
128.345899,215,1673.464572
46.150954,129,1675.990955
-33.966395,177,1679.845674
168.444833,231,1683.98948
-2.185831,77,1688.785031
2.814159,74,1689.527865
314.746449,300,1691.080619
4.033469,76,1691.788039
-27.126196,129,1692.772808
170.589212,300,1697.910465
