x,y,z,h
1.0880231,0,4.6781554,False
1.0880231,0,4.6775694,True
1.0880231,0,4.676104,True
1.0880231,0,4.673761,True
1.0880231,0,4.67054,True
1.0880231,0,4.6664414,True
1.0880231,0,4.6614666,True
1.0880231,0,4.6556163,True
1.0880231,0,4.6488914,True
1.0880231,0,4.6412926,True
1.0880231,0,4.6328206,True
1.0880231,0,4.623477,True
1.0880231,0,4.613262,True
1.0880231,0,4.602178,True
1.0880231,0,4.590225,True
1.0880231,0,4.5774055,True
1.0880231,0,4.5637193,True
1.0880231,0,4.549169,True
1.0880231,0,4.5337553,True
1.0880231,0,4.51748,True
1.0880231,0,4.5003448,True
1.0880231,0,4.482351,True
1.0880231,0,4.4635,True
1.0880231,0,4.4437943,True
1.0880231,0,4.423235,True
1.0880231,0,4.4018245,True
1.0880231,0,4.379564,True
1.0880231,0,4.3564653,True
1.0880231,0,4.332655,True
1.0880221,0,4.308326,True
1.0880157,0,4.283666,True
1.0879931,0,4.258834,True
1.0879351,0,4.2339687,True
1.0878116,0,4.2091875,True
1.0875804,0,4.1845865,True
1.0871869,0,4.160248,True
1.0865636,0,4.136239,True
1.085631,0,4.112612,True
1.0842977,0,4.0894036,True
1.0824678,0,4.066639,True
1.0800582,0,4.044323,True
1.0770001,0,4.022447,True
1.0732304,0,4.000997,True
1.0686918,0,3.9799545,True
1.06334,0,3.9592977,True
1.0571363,0,3.9390066,True
1.0500475,0,3.9190595,True
1.04205,0,3.8994386,True
1.0331283,0,3.880128,True
1.0232704,0,3.8611138,True
1.0124704,0,3.8423874,True
1.0007317,0,3.8239422,True
0.9880532,0,3.8057878,True
0.97443235,0,3.787945,True
0.9598764,0,3.77044,True
0.9444024,0,3.753305,True
0.92803365,0,3.7365696,True
0.91079694,0,3.7202613,True
0.8927302,0,3.7044058,True
0.8738747,0,3.689026,True
0.85427254,0,3.674141,True
0.8339741,0,3.659769,True
0.8130323,0,3.6459248,True
0.7914975,0,3.6326182,True
0.76942605,0,3.619863,True
0.746877,0,3.6076603,True
0.723909,0,3.5959907,True
0.70058525,0,3.584832,True
0.67696846,0,3.5741632,True
0.6531152,0,3.5639555,True
0.6290842,0,3.5541782,True
0.60493475,0,3.5448034,True
0.5807193,0,3.535801,True
0.55649066,0,3.5271442,True
0.5323026,0,3.5188086,True
0.5082025,0,3.51077,True
0.48423663,0,3.5030072,True
0.46045288,0,3.4954998,True
0.4368933,0,3.488228,True
0.41359702,0,3.4811726,True
0.39060485,0,3.474316,True
0.36795264,0,3.4676406,True
0.34567145,0,3.46113,True
0.3237932,0,3.4547696,True
0.30234516,0,3.4485412,True
0.28134856,0,3.4424272,True
0.26082397,0,3.4364128,True
0.2407893,0,3.4304833,True
0.22125721,0,3.424627,True
0.20223853,0,3.4188368,True
0.1837419,0,3.4131048,True
0.16577068,0,3.407425,True
0.14832498,0,3.4017928,True
0.13140294,0,3.396204,True
0.11499841,0,3.390654,True
0.099101916,0,3.3851402,True
0.083703384,0,3.3796613,True
0.06879074,0,3.3742197,True
0.054349028,0,3.3688183,True
0.040362455,0,3.3634615,True
0.026813699,0,3.3581536,True
0.013682942,0,3.3529003,True
0.0009497339,0,3.3477068,True
-0.011405357,0,3.342577,True
-0.0233997,0,3.3375132,True
-0.035050776,0,3.3325174,True
-0.04637552,0,3.327591,True
-0.057388395,0,3.322734,True
-0.06810366,0,3.3179474,True
-0.078535445,0,3.3132303,True
-0.088695675,0,3.3085818,True
-0.09859564,0,3.3040009,True
-0.10824659,0,3.2994866,True
-0.11765809,0,3.295038,True
-0.12683877,0,3.2906535,True
-0.13579734,0,3.2863321,True
-0.1445414,0,3.2820725,True
-0.15307747,0,3.277873,True
-0.16141225,0,3.2737324,True
-0.16955176,0,3.269649,True
-0.17750092,0,3.2656217,True
-0.18526472,0,3.2616491,True
-0.19284797,0,3.2577302,True
-0.2002544,0,3.253864,True
-0.20748772,0,3.2500498,True
-0.21455158,0,3.2462869,True
-0.22144887,0,3.2425745,True
-0.22818223,0,3.238912,True
-0.2347545,0,3.235299,True
-0.24116793,0,3.231735,True
-0.24742454,0,3.2282195,True
-0.25352654,0,3.224752,True
-0.25947586,0,3.2213326,True
-0.26527408,0,3.2179608,True
-0.27092305,0,3.2146366,True
-0.27642453,0,3.2113597,True
-0.28177997,0,3.2081301,True
-0.286991,0,3.2049482,True
-0.29205933,0,3.2018135,True
-0.29698646,0,3.1987262,True
-0.30177397,0,3.1956868,True
-0.3064236,0,3.1926951,True
-0.31093714,0,3.1897519,True
-0.31531632,0,3.1868567,True
-0.31956315,0,3.1840103,True
-0.32367966,0,3.1812124,True
-0.32766783,0,3.1784635,True
-0.33152995,0,3.1757634,True
-0.3352683,0,3.1731122,True
-0.3388851,0,3.17051,True
-0.34238285,0,3.1679568,True
-0.34576404,0,3.1654522,True
-0.3490312,0,3.1629965,True
-0.35218698,0,3.1605895,True
-0.35523406,0,3.1582308,True
-0.35817516,0,3.15592,True
-0.36101303,0,3.1536572,True
-0.36375052,0,3.1514416,True
-0.3663905,0,3.1492734,True
-0.3689358,0,3.1471515,True
-0.37138933,0,3.145076,True
-0.37375402,0,3.1430461,True
-0.37603277,0,3.1410613,True
-0.37822852,0,3.139121,True
-0.38034418,0,3.1372247,True
-0.38238266,0,3.135372,True
-0.38434678,0,3.1335616,True
-0.3862395,0,3.1317933,True
-0.38806355,0,3.1300664,True
-0.38982174,0,3.12838,True
-0.39151686,0,3.1267335,True
-0.39315158,0,3.1251264,True
-0.3947285,0,3.1235576,True
-0.3962503,0,3.1220262,True
-0.39771947,0,3.120532,True
-0.39913848,0,3.119074,True
-0.40050977,0,3.1176517,True
-0.4018357,0,3.116264,True
-0.4031186,0,3.1149106,True
-0.40436068,0,3.1135902,True
-0.4055641,0,3.1123025,True
-0.40673092,0,3.1110466,True
-0.40786314,0,3.1098218,True
-0.40896267,0,3.108628,True
-0.41003132,0,3.107464,True
-0.4110709,0,3.10633,True
-0.4120831,0,3.1052246,True
-0.41306946,0,3.1041477,True
-0.41403148,0,3.1030982,True
-0.41497064,0,3.1020753,True
-0.41588822,0,3.1010787,True
-0.4167855,0,3.1001077,True
-0.41766363,0,3.0991614,True
-0.4185237,0,3.098239,True
-0.41936666,0,3.0973399,True
-0.42019346,0,3.0964637,True
-0.42100495,0,3.0956092,True
-0.42180184,0,3.0947762,True
-0.4225848,0,3.093964,True
-0.42335448,0,3.0931718,True
