#{"t_start": 1725215958.639053, "env_id": "None"}
r,l,t,num_wraps,c
-838.411962,300,4.909266,0.08403025881499297,0
-877.753566,300,9.194505,0.0,0
-783.392525,300,13.623497,1.3327254922650709,0
-741.072339,300,19.879836,0.0,1
-677.782548,300,24.145766,0.8988812377246275,0
-623.925639,300,33.489485,0.9691793745038377,0
-937.310888,300,41.134983,0.0,0
-919.754629,300,45.503102,0.0,0
-906.056433,300,51.089975,0.0,0
-908.661875,300,56.719589,0.0,0
-847.02808,300,63.994448,0.0,0
-907.333459,300,73.09414,0.0,0
-904.706452,300,79.928947,0.0,0
-779.498659,300,85.616463,0.0,0
-933.827042,300,91.263934,0.0,0
-929.220521,300,96.771208,0.0,0
-921.968168,300,102.563077,0.0,0
-925.522664,300,108.527672,0.0,0
-942.07263,300,114.190264,0.0,0
-856.906043,300,120.181761,0.0,0
-918.247806,300,126.186435,0.0,0
-916.434021,300,132.417846,0.0,0
-938.07117,300,140.936895,0.0,0
-895.143387,300,148.519404,0.0,0
-917.086111,300,154.024014,0.0,0
-935.831883,300,162.842686,0.0,0
-920.048164,300,171.842662,0.0,0
-927.954075,300,180.723331,0.0,0
-889.808219,300,193.375625,0.0,0
-917.00926,300,206.228959,0.0,0
-927.373068,300,215.416618,0.0,0
-822.790457,300,224.940425,0.0,0
-909.299746,300,232.16584,0.0,0
-936.664639,300,239.071475,0.0,0
-922.15044,300,246.568006,0.0,0
-947.339021,300,253.959662,0.0,0
-927.325162,300,262.655851,0.0,0
-924.185072,300,270.687856,0.0,0
-984.137173,300,281.090861,0.0,0
-845.277555,300,291.607529,0.0,0
-929.882045,300,297.806689,0.0,0
-958.33068,300,307.052137,0.0,0
-913.880584,300,312.795331,0.0,0
-906.366776,300,318.711447,0.0,0
-880.084432,300,326.291976,0.0,0
-919.748912,300,333.913856,0.0,0
-918.007671,300,340.837937,0.0,0
-904.82115,300,347.047992,0.0,0
-922.628888,300,354.759217,0.0,0
-917.052724,300,360.09385,0.0,0
-806.74726,300,372.040659,0.0,0
-724.776902,300,380.298245,0.0,0
-1004.914132,300,391.306269,0.0,0
-945.03728,300,400.780478,0.0,0
-935.318551,300,408.901757,0.0,0
-934.98281,300,417.010994,0.0,0
-954.670473,300,426.350245,0.0,0
-914.796186,300,434.079433,0.0,0
-966.042751,300,441.975439,0.0,0
-917.309205,300,453.567747,0.0,0
-969.832951,300,464.930034,0.0,0
-947.349829,300,474.117106,0.0,0
-929.847988,300,482.766228,0.0,0
-990.15349,300,490.785373,0.0,0
-939.893185,300,509.227471,0.0,0
-930.685152,300,523.24873,0.0,0
-967.34411,300,531.759923,0.0,0
-959.951921,300,540.291686,0.0,0
-895.939706,300,549.292617,0.0,0
-967.066092,300,558.198642,0.0,0
-936.461966,300,564.620672,0.0,0
-971.039569,300,572.698218,0.0,0
-910.432121,300,581.731345,0.0,0
-966.890376,300,587.852913,0.0,0
-965.991263,300,594.581165,0.0,0
-960.094681,300,604.10485,0.0,0
-951.187282,300,617.925134,0.0,0
-969.696937,300,627.818227,0.0,0
-948.284179,300,633.242589,0.0,0
-960.353574,300,646.320286,0.0,0
-919.189067,300,654.295391,0.0,0
-805.177224,300,693.306717,0.0,0
