#{"t_start": 1725126188.5405502, "env_id": "None"}
r,l,t,num_wraps,c
-1731.366815,600,5.099115,0.0,0
-1758.544717,600,9.398232,0.0,0
-1557.453112,600,13.747111,1.2366878319562316,0
-1477.979384,600,18.121341,0.0,0
-1330.919449,600,22.468825,0.9018713970256973,0
-1451.083567,600,26.853474,0.0,0
-1846.226178,600,44.264311,0.0,0
-1782.099192,600,57.371002,0.0,0
-1843.220304,600,70.927089,0.0,0
-1865.368148,600,85.266477,0.0,0
-1765.684753,600,102.522757,0.0,0
-1840.910929,600,116.963762,0.0,0
