x,y,z,h
1.4749236,0,4.3507776,False
1.4749236,0,4.3504844,False
1.4749236,0,4.3498006,False
1.4749236,0,4.3487263,False
1.4749236,0,4.347262,False
1.4749236,0,4.3454065,False
1.4749236,0,4.343162,False
1.4749236,0,4.340527,False
1.4749236,0,4.3375025,False
1.4749236,0,4.334089,False
1.4749236,0,4.330286,False
1.4749236,0,4.326094,False
1.4749236,0,4.3215137,False
1.4749236,0,4.3165445,False
1.4749236,0,4.3111877,False
1.4749236,0,4.305443,False
1.4749236,0,4.2993107,False
1.4749236,0,4.292791,False
1.4749236,0,4.2858844,False
1.4749236,0,4.2785916,False
1.4749236,0,4.2709126,False
1.4749236,0,4.2628474,False
1.4749236,0,4.254397,False
1.4749236,0,4.2455616,False
1.4749236,0,4.2363415,False
1.4749236,0,4.226737,False
1.4749236,0,4.216749,False
1.4749236,0,4.2063775,False
1.4749236,0,4.195623,False
1.4749236,0,4.184486,False
1.4749236,0,4.172967,False
1.4749236,0,4.1610665,False
1.4749236,0,4.1487846,False
1.4749236,0,4.136122,False
1.4749236,0,4.1230803,False
1.4749236,0,4.1096597,False
1.4749236,0,4.095894,False
1.4749236,0,4.081831,False
1.4749233,0,4.0675206,False
1.4749217,0,4.053013,False
1.4749169,0,4.0383554,False
1.474906,0,4.02359,False
1.4748838,0,4.0087566,False
1.474844,0,3.993889,False
1.4747782,0,3.9790192,False
1.4746755,0,3.9641774,False
1.4745226,0,3.9493916,False
1.4743031,0,3.9346867,False
1.4739978,0,3.920085,False
1.4735842,0,3.905608,False
1.4730364,0,3.8912733,False
1.4723254,0,3.8770952,False
1.4714196,0,3.8630826,False
1.4702867,0,3.8492384,False
1.4688965,0,3.8355594,False
1.4672211,0,3.822039,False
1.4652346,0,3.808668,False
1.4629126,0,3.7954338,False
1.4602333,0,3.7823224,False
1.4571772,0,3.769318,False
1.4537268,0,3.756405,False
1.4498667,0,3.743566,False
1.4455839,0,3.7307837,False
1.4408678,0,3.7180412,False
1.4357095,0,3.7053223,False
1.4301022,0,3.6926112,False
1.4240416,0,3.679893,False
1.4175248,0,3.667154,False
1.4105508,0,3.654382,False
1.4031203,0,3.6415663,False
1.3952354,0,3.6286972,False
1.3868996,0,3.6157668,False
1.3781179,0,3.6027694,False
1.3688958,0,3.5897002,False
1.3592398,0,3.576557,False
1.3491575,0,3.563338,False
1.3386567,0,3.5500445,False
1.3277459,0,3.5366783,False
1.3164341,0,3.523243,False
1.3047309,0,3.5097427,False
1.2926462,0,3.4961832,False
1.2801905,0,3.4825704,False
1.2673745,0,3.4689112,False
1.2542095,0,3.4552128,False
1.2407072,0,3.4414833,False
1.2268791,0,3.42773,False
1.2127377,0,3.4139612,False
1.1982954,0,3.400184,False
1.1835645,0,3.386406,False
1.1685585,0,3.372634,False
1.1532898,0,3.3588748,False
1.1377721,0,3.3451333,False
1.1220187,0,3.3314142,False
1.106043,0,3.3177214,False
1.0898582,0,3.304058,False
1.0734761,0,3.2904313,False
1.0569018,0,3.27687,False
1.0401404,0,3.2634084,False
1.0231996,0,3.2500768,False
1.0060892,0,3.2369018,False
0.98882097,0,3.2239063,False
0.97140807,0,3.2111106,False
0.9538647,0,3.1985333,False
0.936206,0,3.1861918,False
0.91844803,0,3.1741002,False
0.9006075,0,3.1622696,False
0.88270205,0,3.1507096,False
0.8647493,0,3.1394267,False
0.8467674,0,3.1284266,False
0.82877463,0,3.117712,False
0.8107892,0,3.107285,False
0.79282963,0,3.0971463,False
0.77491397,0,3.0872955,False
0.75706035,0,3.0777311,False
0.73928666,0,3.0684495,False
0.72161055,0,3.059447,False
0.7040491,0,3.0507188,False
0.6866192,0,3.0422595,False
0.6693373,0,3.0340626,False
0.65221894,0,3.0261216,False
0.63527954,0,3.0184283,False
0.61853385,0,3.0109746,False
0.6019958,0,3.0037518,False
0.5856791,0,2.996751,False
0.56959647,0,2.989963,False
0.5537601,0,2.983379,False
0.5381817,0,2.9769893,False
0.5228722,0,2.9707851,False
0.50784177,0,2.9647577,False
0.49310014,0,2.9588983,False
0.47865614,0,2.9531991,False
0.46451798,0,2.9476519,False
0.45069298,0,2.9422483,False
0.4371876,0,2.9369805,False
0.42400765,0,2.931841,False
0.411158,0,2.926822,False
0.39864284,0,2.921917,False
0.3864656,0,2.917119,False
0.37462893,0,2.9124222,False
0.36313477,0,2.9078205,False
0.35198432,0,2.903309,False
0.34117812,0,2.898883,False
0.330716,0,2.8945382,False
0.3205973,0,2.8902707,False
0.31082046,0,2.8860774,False
0.30138358,0,2.8819554,False
0.29228407,0,2.8779025,False
0.28351888,0,2.873917,False
0.27508432,0,2.8699973,False
0.26697624,0,2.8661418,False
0.2591901,0,2.8623505,False
0.25172105,0,2.8586226,False
0.24456367,0,2.8549585,False
0.23771228,0,2.8513582,False
0.23116085,0,2.8478222,False
0.224903,0,2.8443513,False
0.21893206,0,2.8409462,False
0.21324101,0,2.8376076,False
0.20782262,0,2.8343363,False
0.20266949,0,2.8311331,False
0.19777402,0,2.827999,False
0.1931285,0,2.8249352,False
0.18872505,0,2.8219423,False
0.18455571,0,2.819021,False
0.18061242,0,2.8161726,False
0.17688705,0,2.8133972,False
0.17337142,0,2.8106954,False
0.17005731,0,2.8080678,False
0.16693649,0,2.8055146,False
0.16400073,0,2.8030353,False
0.16124187,0,2.8006303,False
0.15865171,0,2.798299,False
0.1562222,0,2.7960413,False
0.15394528,0,2.793856,False
0.15181305,0,2.7917426,False
0.14981768,0,2.7896998,False
0.14795144,0,2.787727,False
0.14620677,0,2.7858229,False
0.1445762,0,2.7839859,False
0.14305247,0,2.7822144,False
0.1416284,0,2.7805073,False
0.14029701,0,2.7788625,False
0.13905151,0,2.7772782,False
0.13788527,0,2.775753,False
0.13679186,0,2.7742846,False
0.135765,0,2.772871,False
0.13479866,0,2.7715106,False
0.13388698,0,2.7702012,False
0.13302432,0,2.7689407,False
0.13220522,0,2.7677274,False
0.13142444,0,2.766559,False
0.130677,0,2.765433,False
0.12995806,0,2.7643483,False
0.12926307,0,2.7633026,False
0.12858763,0,2.7622936,False
0.12792762,0,2.7613196,False
0.1272791,0,2.760379,False
0.12663838,0,2.75947,False
0.12600197,0,2.7585907,False
0.12536658,0,2.7577395,False
0.124729216,0,2.7569153,False
